ParticipantID,NLL,Recovered_lr1,Recovered_lr2,Recovered_lam,Recovered_w,Recovered_p,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-0.42353072230267974,0.02521523555007063,0.9123226685053067,1.0,0.6808549633492651,1.0,1.2500121723576827,0.6666297367233094,10.0,2.5256977077792735,0.8063865376326844,0.2947716502634602,0.6686291253507274,0.3068282242191079,0.4761092870655503,0.7817846433812581,0.3163189157957281,2.131915741476359,0.6351249610913382,8.80219977218583,9.02536556422245
2,-1.194800569447492,0.19724170663409815,0.8979142688761881,0.7360075186981412,0.0,1.0,0.6709349630569145,0.10343046049010012,10.0,2.084178463228369,1.22864307394038,0.6780420658130272,0.2541852275030753,0.3317191827887483,2.927265620931302,2.068453680995507,0.3288294174010283,1.4802482239396997,0.1219198138900876,9.630182395955346,5.039830093987828
3,2.274864962562255,1.0,0.9026860002175993,1.0,0.7986674079508138,0.05843029739374463,1.6872936427166338,0.0,0.9610636094143583,2.17960222680921,3.692402730354656,0.671544126696079,0.4119347589123773,0.6791600027773186,6.280230786069259,1.5187921707593433,0.5129955880479632,2.935555123895488,0.3053135314483067,0.1252283688647326,2.6826282913593635
4,0.4214711659382587,0.4371584764005301,1.0,0.6020387538215158,0.4534727175532524,1.0,0.99059564851377,0.8736978711184491,6.630305567453319,0.5353249528068745,3.1869819023603365,0.8369937800671512,0.5627980394129296,0.1195267361223699,7.575703592474213,2.63452673023672,0.6523214429727279,3.4768633013590464,0.9475415511018244,6.545375346228315,8.542582098426465
5,-0.27591103766242997,1.0,0.9829413409626593,1.0,0.742465840789124,-0.016896410705482864,0.6469467964311164,0.4782152381665192,10.0,5.338605578027762,2.970352230786187,0.6543910695633092,0.7729116806402683,0.8307027366782989,9.020760015248444,1.9787513078259036,0.2504127678792351,3.369422758295152,0.5389315533076343,5.42076154739123,8.251753305664195
6,-0.9132055654988168,0.14136006247716706,0.9769588303360006,0.8127411076991893,0.0,1.0,0.7712178195576792,0.4701438299366797,10.0,0.8886738984827044,0.1279367375030955,0.7901643768526411,0.0311706012039482,0.6238751025405492,5.874844793504091,3.208745904167984,0.4244481126429537,1.3192094986053853,0.5094085814387623,8.858231171497215,5.652896703655683
7,-0.5044498098912267,0.9787978298078258,0.9819332522945717,0.7800869692895214,0.6581573639726784,1.0,0.8634182309386993,0.3377110798640048,10.0,0.901381111151403,2.652595565857267,0.3972413078581507,0.874925178409307,0.6682702071165388,3.549025108507734,3.267655163318297,0.5255698471230323,3.5710079858011383,0.2750540510654117,1.0806748517233733,1.9127205174117008
8,0.3833789682485247,0.20978643887716075,0.9297395685517518,0.0,0.8352922338997338,0.5077993913738925,1.0171242062302446,0.20620128776651953,7.65849242602279,1.1256682048976072,1.5481849304203434,0.7686538154408831,0.2437604224523249,0.5637229228878153,6.235518010455583,2.0402356767396435,0.230201077795671,3.055885330220223,0.2957255344238811,3.984581965490401,3.772395675305095
9,-2.9089983258674663,0.5998096947602626,0.8561800929451048,0.6059115466676345,0.0,1.0,0.3,0.6900510285908537,10.0,10.0,2.6544105266843743,0.0776999581336476,0.494900928424783,0.0138796401089302,9.830389835394168,2.992136111940074,0.430468536797736,0.842967343691686,0.6968783264368051,9.058084167065523,3.181087523446168
10,-2.0934338303366293,0.16405598458571818,1.0,0.8921825260971173,0.0,1.0,0.5628256802502436,0.6532123065718756,10.0,7.599459108253152,3.065968578624919,0.2587482918370689,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
11,-1.8126620369615043,0.14961082079115684,1.0,0.9440249511135363,0.0,1.0,0.4778916870022134,0.025824291296671836,10.0,2.590468244743221,3.335618709996933,0.6284536193626764,0.1319478315992181,0.5512150157652674,2.7932033561633185,4.5793936153365005,0.3189393741260923,1.3571510328738206,0.0476547049696789,4.475791440506382,5.575878151711118
12,-1.3304583548248088,0.1766025812156335,1.0,1.0,0.0,1.0,0.6662735940786075,0.46356347317351493,10.0,1.1727094263411653,2.294244330308381,0.8148396419637057,0.3126725395205446,0.4027755416321297,8.512376625014975,2.8841465161601243,0.5923957609266403,1.3299295224589691,0.487471301625849,6.209523875804722,1.3339403014523998
13,1.2619020960355063,0.0,0.5807060278188936,0.29699234990373924,1.0,0.26472352641337765,1.7960485524038816,0.11272594059081087,10.0,0.621823050306132,0.1316348663701378,0.1020699010177435,0.4297149687056877,0.0216240611677276,6.262089291372217,0.4879130898804223,0.3505769226297475,1.8780238996680083,0.115826746706249,2.705519937974664,0.2107967283551126
14,-1.076900975408246,0.6081373180238834,1.0,0.5591960696366447,0.0,1.0,0.7177366319776887,0.5993827671544212,10.0,0.7687798291963193,3.9401822144418777,0.5504162473092695,0.3405184549517241,0.0238755159994042,3.8983874837498425,2.2627931319321712,0.7586019162587019,1.3304654358008097,0.6147818910832991,6.651683545821934,1.8596096979633887
15,2.517535544686445,1.0,0.835478207233831,0.8422230960581635,0.8175823800414235,-0.014464722235937534,1.9053877658092948,0.9665616679109686,2.2384434978355956,0.2911649339144259,2.0230533959457278,0.7078506865739413,0.0869211309855721,0.545431768352066,0.2605993268839324,0.0352336190503782,0.2357171642840428,2.081181698851435,0.9257041086902308,4.055573841390242,0.7503263933654081
16,-1.0435425851610174,1.0,1.0,1.0,0.7094198192367658,-0.06565288864831106,0.43782680260609486,0.8285889683681308,10.0,10.0,3.445409897932115,0.4673678269233962,0.2870422820256817,0.8667291049062081,9.382617685023783,1.3000948597834616,0.3208351122282322,2.478962202232486,0.8425182098415589,3.3672108974505486,5.864294214642616
17,-2.7608509747920973,0.18185143044480634,0.8773439582172471,0.9172660778258218,0.0,1.0,0.3166224723622471,0.27764899105675733,10.0,8.920950787523944,0.6489799979152311,0.1751343617143276,0.6852016943928861,0.1350886152168449,2.6590704104782747,3.447474315888347,0.2090535845797874,0.419119294313711,0.2875259400240286,3.366231805122992,3.6221610553001113
18,-2.2602164464233185,0.1618248841299589,0.7451445213523482,0.8876619106141537,0.0,1.0,0.4572184336465002,0.18656602207931808,10.0,6.956911113200181,3.2287623020540783,0.0323828708927777,0.3225557201627926,0.5744503199401418,1.4300410951832263,4.288693072557203,0.5873386449640597,0.7265856742761002,0.2080974099989472,7.454983307481646,4.034066283341728
19,2.070586872336715,1.0,1.0,1.0,0.640299460143046,0.35134648224724196,2.381698841203351,0.21179121965113645,4.1627071430390705,0.1869407374083856,1.937880243794027,0.7987095702654547,0.1236991946618078,0.8679355176475059,0.4262968179657989,0.497201286274424,0.3339430585642661,3.284364804363902,0.4558728073695024,6.532511422613194,1.7432113751983724
20,-2.508510281698348,0.20006855403351867,0.9116755089410765,0.959653586819964,0.0,1.0,0.3115181160029073,0.36523611974404313,10.0,6.2938984144090355,0.666887731706113,0.4687635064984102,0.6662642717521995,0.4162270186935256,8.696140851211128,3.302059673353201,0.3494540530711597,1.169138216967788,0.3740467168670696,7.566160562962172,9.379376643097824
21,-1.5508065485866513,1.0,1.0,0.08491827842991041,0.786029814248521,0.5218228126364255,0.539610952780757,0.0703232720068607,10.0,10.0,3.447623997275332,0.2354497134146295,0.3710510351807128,0.5503896895052893,5.468344558158083,1.9463747270448284,0.260852466128766,2.9353057762698453,0.0881351639254338,8.660774293737196,8.634484403326345
22,-2.7804486944612052,0.2241897361606346,0.9694052234626386,1.0,0.0,1.0,0.3,0.3384678923808267,10.0,10.0,2.833803166061491,0.4377821164269175,0.629231908871625,0.3554883540915886,7.974959842933487,3.932085411399239,0.293317150324173,1.4759249362972118,0.3439831767859903,3.641702986535258,5.666455566878987
23,-1.4405555874884872,0.1799481068759032,0.9947645873172536,0.703203558788016,0.0,1.0,0.610006867833372,0.06408230672998592,10.0,1.6917680614825812,0.1667497700811511,0.5939727470675092,0.1814685831509709,0.3748163005557973,4.508926565007,1.7436338477382296,0.4299681860768076,0.9671324251367096,0.0681300573940744,5.512566489358516,5.958669456166511
