ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-0.9218321218863056,0.5432398216559138,0.3153694984855609,0.7731864205456155,10.0,3.0361864826764275,0.3301599406713917,2.1239303089178496,0.6322322694238215,0.7091431507644008,0.7412419524410346,0.8063865376326844,0.2947716502634602,0.6686291253507274,0.3068282242191079,0.4761092870655503,0.7817846433812581,0.3163189157957281,2.131915741476359,0.6351249610913382,8.80219977218583,9.02536556422245
2,-2.987644335254008,1.1865587720617863,0.7036190554486532,0.5030274673564679,3.441520109348037,2.055519757985028,0.3250052805079645,1.4686872636469575,0.12199769642949154,9.327813057723253,4.980253890411971,1.22864307394038,0.6780420658130272,0.2541852275030753,0.3317191827887483,2.927265620931302,2.068453680995507,0.3288294174010283,1.4802482239396997,0.1219198138900876,9.630182395955346,5.039830093987828
3,0.24929873775585643,3.936878395522428,0.7413356072606859,0.8881856310264425,1.882530372352144,0.4708257182470419,0.43612464299936987,2.8821267253816076,0.29569993313408466,0.4969773961537324,10.0,3.692402730354656,0.671544126696079,0.4119347589123773,0.6791600027773186,6.280230786069259,1.5187921707593433,0.5129955880479632,2.935555123895488,0.3053135314483067,0.1252283688647326,2.6826282913593635
4,-3.424238507696956,3.6108796894441704,0.8485404443212057,0.6818509091544833,9.999989073825398,2.923962319203909,0.6598486293081899,3.4792523518877294,0.9475845018051974,4.8247083837004885,6.3343040679922895,3.1869819023603365,0.8369937800671512,0.5627980394129296,0.1195267361223699,7.575703592474213,2.63452673023672,0.6523214429727279,3.4768633013590464,0.9475415511018244,6.545375346228315,8.542582098426465
5,-2.3780695734989488,1.0893848908037638,0.6391604925947904,0.9,10.0,0.7709946647516512,0.49484929252229326,0.9382923241725135,0.5363718206493658,4.845359274755941,6.994802564783544,2.970352230786187,0.6543910695633092,0.7729116806402683,0.8307027366782989,9.020760015248444,1.9787513078259036,0.2504127678792351,3.369422758295152,0.5389315533076343,5.42076154739123,8.251753305664195
6,-3.0889125506066084,0.08151244941931395,0.9,0.6575927656965953,10.0,2.7260631359806875,0.37588576427731835,1.178590628025845,0.5081973235105953,10.0,10.0,0.1279367375030955,0.7901643768526411,0.0311706012039482,0.6238751025405492,5.874844793504091,3.208745904167984,0.4244481126429537,1.3192094986053853,0.5094085814387623,8.858231171497215,5.652896703655683
7,-1.6406568809974664,0.2486929507191258,0.3927529900059486,0.9,7.357941168268829,1.430623955951063,0.7994186959341839,2.82748553871433,0.27052714724326793,5.519537157013846,10.0,2.652595565857267,0.3972413078581507,0.874925178409307,0.6682702071165388,3.549025108507734,3.267655163318297,0.5255698471230323,3.5710079858011383,0.2750540510654117,1.0806748517233733,1.9127205174117008
8,-2.387243035505056,1.1271273881284183,0.7644729857861879,0.6735123203742425,9.55678905010641,2.01256216334226,0.25327687336137517,2.5364441099608337,0.2976452598848182,3.4817459861976583,3.276324857660709,1.5481849304203434,0.7686538154408831,0.2437604224523249,0.5637229228878153,6.235518010455583,2.0402356767396435,0.230201077795671,3.055885330220223,0.2957255344238811,3.984581965490401,3.772395675305095
9,-4.69664619693748,2.759494687211287,0.07330925819604983,0.49988122038023375,9.99954777483951,3.0139947922667876,0.4547537033011552,0.7762964110604873,0.6969801913591624,7.583170266440461,2.797186489259462,2.6544105266843743,0.0776999581336476,0.494900928424783,0.0138796401089302,9.830389835394168,2.992136111940074,0.430468536797736,0.842967343691686,0.6968783264368051,9.058084167065523,3.181087523446168
10,-4.6557461885216505,0.4772368592394651,0.2178247694817412,0.9,10.0,3.9957843688482724,0.6769336152793897,1.4947050001199522,0.6763822774225895,4.034681937395212,10.0,3.065968578624919,0.2587482918370689,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
