ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vps,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-0.8681667845784593,1.3584153396568228,0.28683062776771867,0.7715752935292111,10.0,4.3244606327793464,0.2152171059672235,1.969815840118935,0.637365430673943,0.18898089731278125,0.17653449929443982,0.8063865376326844,0.2947716502634602,0.6686291253507274,0.3068282242191079,0.4761092870655503,0.7817846433812581,0.3163189157957281,2.131915741476359,0.6351249610913382,8.80219977218583,9.02536556422245
2,-2.9918576718340963,1.6042140883536888,0.7107092121697288,0.5246769843296081,2.279130780785083,2.1178044607007465,0.28466894036739043,1.4675961752918008,0.12211259071885631,8.77268926028187,4.613791534482102,1.22864307394038,0.6780420658130272,0.2541852275030753,0.3317191827887483,2.927265620931302,2.068453680995507,0.3288294174010283,1.4802482239396997,0.1219198138900876,9.630182395955346,5.039830093987828
3,0.20823430349731106,3.9390239132354417,0.641992767198316,0.795529717563285,10.0,2.1464678080988713,0.5357408887151863,2.8378308377474495,0.3081823786414325,0.05989590046406904,1.4632930008566651,3.692402730354656,0.671544126696079,0.4119347589123773,0.6791600027773186,6.280230786069259,1.5187921707593433,0.5129955880479632,2.935555123895488,0.3053135314483067,0.1252283688647326,2.6826282913593635
4,-3.21125272784674,3.4035617327306333,0.8023458100725857,0.5512578724999125,8.690950025713082,3.1179654573369704,0.6183128418216983,2.7322876759961705,0.9502627724772656,3.3579108318391104,4.233711652617639,3.1869819023603365,0.8369937800671512,0.5627980394129296,0.1195267361223699,7.575703592474213,2.63452673023672,0.6523214429727279,3.4768633013590464,0.9475415511018244,6.545375346228315,8.542582098426465
5,-3.106005247771385,1.3590136147457672,0.5183584693627653,0.9,3.364393285250952,0.9656646176801362,0.29013025142944415,1.4204434650941238,0.5385779038078222,6.775634965945446,10.0,2.970352230786187,0.6543910695633092,0.7729116806402683,0.8307027366782989,9.020760015248444,1.9787513078259036,0.2504127678792351,3.369422758295152,0.5389315533076343,5.42076154739123,8.251753305664195
6,-3.2931252623421576,0.16122725729374116,0.8037836930172191,0.6157563207314619,5.58165825497048,3.6766366080923154,0.42270108463090816,1.4233078491794435,0.507477957759752,4.249686088888588,5.352282545117723,0.1279367375030955,0.7901643768526411,0.0311706012039482,0.6238751025405492,5.874844793504091,3.208745904167984,0.4244481126429537,1.3192094986053853,0.5094085814387623,8.858231171497215,5.652896703655683
7,-1.6076984720871241,4.0,0.3417547871769175,0.9,10.0,4.778269828189625,0.4691692465534047,2.6475518257553707,0.27563986734253887,0.1784971576662796,0.2965915301672207,2.652595565857267,0.3972413078581507,0.874925178409307,0.6682702071165388,3.549025108507734,3.267655163318297,0.5255698471230323,3.5710079858011383,0.2750540510654117,1.0806748517233733,1.9127205174117008
8,-2.4890253146028174,1.5439889943980136,0.7877931612722044,0.6417635094579651,2.142106404180814,1.1336324792695813,0.22171198921465443,2.7364848905070245,0.29824927982045385,10.0,9.59541925328952,1.5481849304203434,0.7686538154408831,0.2437604224523249,0.5637229228878153,6.235518010455583,2.0402356767396435,0.230201077795671,3.055885330220223,0.2957255344238811,3.984581965490401,3.772395675305095
9,-4.539958382227526,3.368803730113512,0.0893662561996783,0.5421469385817882,8.631911030864625,3.2896550964048368,0.32814477280226634,0.666736841620103,0.6970646960238623,4.807532422988603,1.7649655375084359,2.6544105266843743,0.0776999581336476,0.494900928424783,0.0138796401089302,9.830389835394168,2.992136111940074,0.430468536797736,0.842967343691686,0.6968783264368051,9.058084167065523,3.181087523446168
10,-4.542816897046993,1.3845010887315101,0.09023016368206067,0.9,3.975942845565585,5.0,0.4443181912582705,1.269925097288979,0.6771245531999192,1.4091148654968861,2.3134245591692046,3.065968578624919,0.2587482918370689,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
