ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vsamp,Synthetic_vps,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,4.7295466343737935,4.0,0.0,0.05035747709775078,18.62520949316353,9.150916000329525,1.2908576468511739,5.0,0.2,3.3112129578368887,0.010327961345232,0.2403362789354657,19.99751575148525,2.39366554384973,4.900894960876333,3.9501307530134255,0.2733283460563137
2,6.238324655347446,3.3570221545954944,0.0,0.19950525022422114,6.715243868909544,12.377678863829358,9.892622823488757,5.0,0.7943841077221598,2.6496367227649915,0.4392724009691917,0.174860983877568,17.57260053165441,3.629747951154607,6.390528592947753,3.704134390989646,0.537603731955937
3,10.024190478200374,1.6739558660786393,0.0,0.13750330073848363,1.5537596977681882,7.194297155504777,2.660986462489028,2.382348843107098,0.3559801659637684,2.5153662743887644,0.107068856959804,0.2772332883490782,11.739244144593584,7.909274326150228,6.639460814328007,4.259773224021491,0.3141332535873101
4,113.21021315516724,0.010983686717161736,0.11584168565101105,0.19860868995587175,0.013789052926269117,19.99952800089529,8.20401039204585,4.999932492994041,0.21610251800156827,3.61309080348134,0.3448582653879839,0.8488118976554292,12.347646260499303,15.801910422918,5.14775428373226,2.655723471966544,0.3965563392595831
5,11.121747550196385,2.375301860925593,0.0,0.7100123081487795,0.16780894115789846,5.30002816971642,10.0,5.0,0.2,0.517458828909422,0.3454397206743813,0.1934788327125098,0.6573051176383315,5.49773659650519,1.8057605266685692,4.377651575190614,0.248741937458843
6,56.30374674124256,0.056724681488169205,0.3028323526362879,0.668260068942991,3.6063526300668847,18.12776195428754,8.572253343162163,3.1773899592959594,0.20010256826148176,0.735582396327533,0.6336276259827008,0.8273033019182461,5.029169044638682,0.4260226292276314,9.605044727550997,3.4111032023697527,0.3863976176383136
7,70.23261464042055,0.1199841390797759,0.0,0.6087701701381846,13.880156012734327,18.32999991757784,9.084535610596944,1.710440271920112,0.32354660952499065,1.8894937688609592,0.5393302864908871,0.3364817148588079,17.48975593242354,14.523451766152547,9.543407046242113,1.7553276142410583,0.7623044532330687
8,42.33090989137723,0.15093532679414587,0.0,0.7311250619927618,20.0,15.611827994233908,9.999962786933136,5.0,0.20000908164912248,1.916402296902976,0.5780903747836242,0.6629824842793987,16.186759380113603,7.925187345653876,4.479459785147712,4.0863851305637535,0.630534321854573
9,14.584762719802974,3.9539213111344464,0.003068400905592445,0.0,8.148646547056432,5.215513823553229,0.6540179500795762,4.497200760081194,0.2,3.763396837498576,0.881638084276057,0.1610220027292619,4.558388236255104,14.319728945580936,7.473827346542434,3.015897771162628,0.7263798585329069
10,5.677730848333874,2.098415907037225,0.000325657508944007,0.6114909836628099,8.062480969579482,20.0,10.0,1.068797842537933,0.8,1.007961848442954,0.3055386548671132,0.445182163296218,6.300541779371351,10.908781786836087,6.824780792979444,1.1018345057684742,0.4912024723810284
