ParticipantID,NLL,Recovered_lr1,Recovered_lr2,Recovered_lam,Recovered_w,Recovered_p,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-1.2709184625871488,0.8790515178952472,0.7783494399714351,1.0,0.9956065724050575,0.12928691964770755,0.4947544356196242,0.466413951930557,10.0,10.0,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-0.8250474410297282,1.0,0.7877183426254973,0.0,0.9191627813771949,0.45922134514057583,0.935137873206085,0.18431513652854348,10.0,8.699591954769478,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-1.6699657560933812,0.1532711355393924,1.0,0.29604731811999463,1.0,0.571519520426867,0.47805714987818126,0.2824166424605206,10.0,10.0,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-3.207365251874807,0.20882218785098855,0.5380107051444651,0.7837464097495266,0.0,1.0,0.3,0.7447646699261988,10.0,10.0,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-1.8434650637956078,0.1370114347400364,1.0,0.9970923655010223,0.0,1.0,0.7327663390175547,0.8897216972250457,10.0,10.0,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,-1.6719030026842103,0.21576577334534994,0.813350300410561,0.7045174635064454,0.0,1.0,0.8901173052191966,0.0,10.0,10.0,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-2.5808260893424873,0.1984790160088698,0.4706506044411966,0.7757868183099268,0.0,1.0,0.45825915839549836,0.42162580536473165,10.0,10.0,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-2.141168092145086,0.7140010977780915,0.840205652311494,1.0,0.8530371233161613,0.6695961591959737,0.3358674849717384,0.3774783393963836,10.0,10.0,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-0.6161242955417909,0.1209944751404088,0.6192986207776909,0.7238349464091525,0.0,1.0,1.536931533633228,0.2885873284663853,10.0,1.827921059959819,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-1.2226026514860027,1.0,0.7675102418888528,1.0,0.9460052227658763,0.2380025389185884,0.6062622785800333,0.8630653930552006,10.0,10.0,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
