ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_vps,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-3.195278933662191,0.8808849914061532,6.32346030684812e-05,0.2629000184411968,0.6839102587009365,2.6492574399688547,0.2326143965590547,0.2878592231581993,1.0697390609058945,0.49466791072194083,7.536242819980507,9.922716473392786,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-1.9740427454784943,3.085206235739978,0.000137529340525244,0.2739876361365615,0.6572135389121769,2.570559012384953,1.7019063068104805,0.3694615989854109,1.878364774690096,0.21243386675066883,3.63147681500202,1.4031462177697633,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-4.57227416444296,3.8252664977158606,0.0,0.4345200225147344,0.8385990822774495,9.922044851154238,2.591853541786743,0.6629606995154445,2.105467195011135,0.30380232629425524,3.033504178576892,4.014468493724684,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.962536135442853,1.5484670669393412,0.0004089153082341572,0.0,0.26884596867894983,3.6878431082545617,5.0,0.6104020447623968,0.6905080189881254,0.7564436215238548,1.4840586059243808,9.999114355806675,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-inf,2.3606974077385474,0.0,0.8107707739771209,0.6605076278893898,6.5914776523717995,3.8032960238610105,0.6631203493548241,3.9942069848932973,0.9183302190032366,6.030777591901534,5.111738421658253,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,497.046404075738,0.8678046412942404,0.5565694576091296,0.331042193040701,0.7013105581734242,6.560278241145095,0.8981981542011086,0.3833523523833169,3.7124553913434433,1.0,8.173946012193053,9.011279868302427,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-5.5048058249475735,2.6774309359784043,0.0005896423690390713,0.2770377920473426,0.2926894510361653,2.5733633625363606,5.0,0.5020587409706079,2.3693545589087264,0.43782543040493216,2.1162629043962005,10.0,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-4.239363058858278,1.2841230442492875,0.0,0.6299538927215454,0.40728479992585614,8.50353252594425,1.2250764767113524,0.2895412403793185,1.021415478323082,0.3871196770326832,9.998042940701689,3.085337380418924,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-2.3705616662461053,1.767014578060396,0.007887450060954667,0.6573347365899096,0.038904889901380885,0.12363617454039046,3.2747278821457626,0.2168373890842382,1.7956724838300187,0.37555230749815455,7.801300680575201,3.2644397880408715,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-4.243557271926925,2.27343473122757,4.531943882013937e-06,0.012150322245080348,0.8870750698233609,4.779050608333699,1.7051703131820686,0.2779435471715298,2.027394810947739,0.9058492858252877,2.7609799142187503,6.267397250836927,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
11,-4.915597018774266,1.041025435151552,0.0,0.7735894318523627,0.6968997110202698,4.095292551715926,5.0,0.43091144868208436,2.9733726111954035,0.6734167900750974,2.047608550453909,6.040046860966781,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
