ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vps,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-2.8712573800878873,2.815062788536021,0.0011845991181801325,0.8598348024078706,9.999846711922082,1.3071206692499655,0.2,0.9164908668189886,0.4921356875201458,0.8175157709319959,0.8831078997187908,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-1.7747090962529297,4.0,0.0029378452239857676,0.8488057026281575,6.640055012027824,2.9966470759900297,0.2,1.5297006815953935,0.21583216742313888,0.7580620143431618,0.2869094992980228,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-1.541670905365725,0.3125657149046106,0.2060849051208605,0.7194776963079027,1.030250644211334,0.4896647501175887,0.2,0.43847796471442096,0.29356300422877424,5.44391789094611,6.534730427695497,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.962677965476049,1.573017674674111,0.0003975196506456828,0.2724839345993341,3.6242487013304028,4.996740822344168,0.6117904035487084,0.6866377204719513,0.7564462369662098,1.4818215940437953,9.99745011392622,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-2.042619158637466,0.1960999757043154,0.14268382968744453,0.7565991956048161,9.091516452376329,3.616870654276022,0.2,0.5726986502753012,0.9233490979185933,1.510928038050537,0.7530594335125136,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,-2.4471706924382337,0.2046349447263801,0.1331229765089427,0.48451054046281233,0.6619648949511554,2.7838649560588298,0.2,0.8607689931202532,0.036952564432609886,8.19632236636926,5.837915569683404,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-5.347795374596037,2.023268933813395,0.0012922579095285898,0.5193561968751851,1.6216310577554074,4.973488743323943,0.32111623824265684,2.017948909338659,0.43817425036872076,1.9402827472332582,9.99999989359685,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-3.456745610062689,2.606173279654789,2.272941813802969e-05,0.8928166654019796,10.0,2.408726329240467,0.2,0.5510337481139552,0.3866879493524678,1.4323516178868383,0.5000259113436192,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-2.3477369435602418,0.4800588240830423,0.05952855618880386,0.5524428051349983,0.758924472692661,4.961236813976722,0.2,1.752054768012573,0.37568440787809987,1.4261133785836946,0.7336369917325852,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-4.213861233257582,2.5790799021808004,6.188497962068129e-05,0.8999873254744506,6.262023359915704,2.018952657160427,0.2722412078897906,1.9894847950956518,0.9057171288743375,1.9326449763691065,4.323909526797662,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
11,-2.802107106666733,0.3678514378690631,0.0,0.9,3.6814406561927613,5.0,0.2,0.6756081008033806,0.6790779093652999,1.097104465746104,0.6345192400567696,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
12,-1.7812773950160747,3.856929995704139,0.00017242443047179652,0.8046484845205911,10.0,2.82441858315917,0.8,0.9911817697272689,0.2811236474819391,0.10657399744964978,0.6490082596602194,3.335618709996933,0.6284536193626764,0.1319478315992181,6.124611286280749,1.3966016780816592,0.7495272338403802,1.0334594737775689,0.2857164953713028,0.4765470496967894,4.475791440506382
13,-0.8251574690302297,0.1704068104163417,0.23892384307024425,0.8405367025751381,0.3544069264853546,0.48764595209798,0.2,0.6686885791722464,0.6395265638503048,4.968058703901465,10.0,2.230351260684447,0.5162049743193857,0.8148396419637057,3.474139328006051,2.2376418979562764,0.7107425975008985,2.434268421958492,0.6539929348777337,2.78359330394316,4.87471301625849
14,-2.480725318905794,2.5348225274533362,0.0,0.19794321563362244,2.0927466961906527,2.9490841073482494,0.2373902797876927,2.593993251276985,0.10056453516246824,1.4680268296690553,2.128418951964445,2.483809550321889,0.1200546271307159,0.029617844933281,1.1341100113082614,2.387305381698265,0.2144160407784851,2.6169730378077203,0.0975826179760844,2.5096153771624574,4.264929458562184
15,-5.480160087650403,0.8505959424008227,0.0007186253184180138,0.2481552335948478,7.15375661387284,3.4692006392250674,0.4305220738953982,0.45482472392175055,0.3893237641775304,2.664351215009101,5.663415781974863,0.4633069868249961,0.2434967944177198,0.0189717055519601,9.850455536104691,3.057868040607053,0.4270123033011495,0.3981548991086618,0.3898387483749842,4.525586263864343,9.310031937645029
16,-0.14923642335437967,0.04107381686190011,0.007350635766575177,0.8263338656300393,0.16986054212252033,5.0,0.604808138665269,0.6786663459883027,0.6034180630917193,0.02531648507186747,2.17953847419069,1.1140166873522266,0.5533037019749691,0.5986515191239741,1.8596096979633887,2.528816744932159,0.6719004577159611,0.65734242738513,0.6060352981689622,0.2605993268839324,0.0704672381007565
17,0.20863717020684772,0.13223520578557615,0.11261400255502539,0.8625090181067002,0.21940051294736315,0.07542664657854259,0.2,0.6611717765604019,0.27397474323285825,4.754851306568718,7.012066396148148,0.2381144285602854,0.4332604132341328,0.8331336978212078,4.055573841390242,0.375163196682704,0.7168114846898173,2.221401066240629,0.3189358689174241,9.630323387846756,9.382617685023783
