ParticipantID,NLL,Recovered_lr,Recovered_vsamp,Recovered_vps,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-3.1945196511983474,0.854138389043153,0.2693284751262547,0.6801724776895721,2.7370323255907496,0.23392973456370308,0.28998945359367523,1.0651293201505103,0.49473501598733277,7.421259222306943,9.820330316377689,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-1.973823057534011,3.041216145676923,0.28301528883264915,0.651430786182618,2.480705492873513,1.6588449120848088,0.37099156398941024,1.8783391991765601,0.21243603332344704,3.8080302583973027,1.4680792460891166,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-4.571928798392093,3.903440701568272,0.43124132317262764,0.8442627803185577,9.495034920646924,2.565632279771661,0.6582244151771892,2.108796395610152,0.3037431054030916,3.119921661833065,4.103367546247087,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.958944038811363,1.4973378232315186,0.0,0.27952814765011624,3.4973210101204484,4.9998354177978594,0.6002418958975144,0.6736996041621841,0.7564964408368563,1.4728618684773946,9.999475485111631,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-inf,2.15020199959751,0.7262803973855998,0.7106259176466089,6.727651419566492,3.8373145332024152,0.6988683440044198,3.990300562375938,0.9184298702021574,5.828803157565274,4.874583521088983,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,-4.229954194123729,1.2041524219246458,0.8624473587648537,0.2876297249217691,2.015143192740954,3.4324187322621555,0.2,2.4287953549346226,0.03385020567100533,8.148956022772843,5.890503473477469,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-5.489120185466564,2.456354808189021,0.3205621517938095,0.2554736138298041,2.5751549393544035,5.0,0.480665434880583,2.2738096373142223,0.4380675163121298,2.0984377279953,9.99997903738912,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-4.239363753104385,1.2889770290965534,0.6305443677260824,0.40657287691210997,8.853184690420887,1.2599437356886782,0.28943522784270265,1.0209925707423306,0.387116049598869,9.586472176922083,2.9578421050067516,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-2.3652854777423102,2.114446612663696,0.6735595775589517,0.0,0.7167893476296889,4.004290219570652,0.5329411796380875,1.7815294591368795,0.3756178751389496,3.7576265252496013,1.113370712673607,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-4.2436927376399565,2.2685255850363126,0.012901623884345953,0.8882404429145984,4.174945409567214,1.5845233639559504,0.2710678120119984,2.026596216129994,0.9058498062973056,3.1517667799566924,7.14779038035753,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
11,-4.918084715030835,1.1724494635868148,0.7870674670129981,0.689384206750731,3.8491393466554147,5.0,0.4246072921700819,3.065613897488181,0.6734373086986842,2.115957822943365,6.320431375046423,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
12,-2.0257124646722087,3.052200562778139,0.5194914354417299,0.261021558632137,2.4332553336049707,0.6987114196579536,0.7799152926690734,1.0755882071954537,0.2848567910048331,1.2801429930013235,10.0,3.335618709996933,0.6284536193626764,0.1319478315992181,6.124611286280749,1.3966016780816592,0.7495272338403802,1.0334594737775689,0.2857164953713028,0.4765470496967894,4.475791440506382
13,-3.163721100926729,2.740667601310812,0.5621576288462422,0.8080186075397077,3.9669862363381827,2.4447901208740275,0.6804820468579554,2.575871702224005,0.6523782428951836,2.304340134009757,3.9366421595831564,2.230351260684447,0.5162049743193857,0.8148396419637057,3.474139328006051,2.2376418979562764,0.7107425975008985,2.434268421958492,0.6539929348777337,2.78359330394316,4.87471301625849
14,-2.49247429423947,3.420537780597786,0.09302926046117048,0.07887180970316011,4.279755587267626,3.6788793988798103,0.28160752415890333,2.7875511578388847,0.09549065354615445,0.7180078572619099,1.1046431476418124,2.483809550321889,0.1200546271307159,0.029617844933281,1.1341100113082614,2.387305381698265,0.2144160407784851,2.6169730378077203,0.0975826179760844,2.5096153771624574,4.264929458562184
15,-5.493204224943246,0.722079031626465,0.15778918484657906,0.10753714198744196,6.275154180241584,3.0280999870168817,0.4444608063128738,0.42694192222209687,0.38959643275360384,4.138790135470074,8.725352484849036,0.4633069868249961,0.2434967944177198,0.0189717055519601,9.850455536104691,3.057868040607053,0.4270123033011495,0.3981548991086618,0.3898387483749842,4.525586263864343,9.310031937645029
16,-0.1487376902800441,0.007884205259006204,0.13590871145064687,0.8281198939684039,0.0,0.5672102789693996,0.23226584407207362,0.6782718988697284,0.6034594831192329,3.1110543440418414,10.0,1.1140166873522266,0.5533037019749691,0.5986515191239741,1.8596096979633887,2.528816744932159,0.6719004577159611,0.65734242738513,0.6060352981689622,0.2605993268839324,0.0704672381007565
