ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-2.733964415154068,1.167834293720152,0.0,0.8314298878100013,10.0,0.40327887537723284,0.2543345870797044,0.6941048451480593,0.49593005555413705,2.0454364441322266,3.1843067713963773,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-1.8343886946199348,3.896729922551153,0.0,0.7770124737164913,1.9641339132672415,1.2078163257881447,0.39455986015589173,1.6638973895322218,0.21264460504419816,5.742966370255611,2.3065039064230763,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-1.7246868432311795,0.05748216432852679,0.18426057380411617,0.6988075123860231,10.0,0.31039968115091715,0.2,0.44062069639422263,0.2968447937371279,8.702638354824225,10.0,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.872751143792456,1.6237747551661448,0.0,0.23569593762316735,4.575868312433265,4.965311519206433,0.6755851872679975,0.5616515906525785,0.7568229553854194,1.4233688622179976,9.999840164420048,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-3.068200532982738,0.6749563225698082,0.0,0.9,10.0,2.1536075028134367,0.7135018098564796,0.6971933337761309,0.9249954781385978,10.0,4.2479072340231605,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,-4.241351043908091,0.23672992500713302,0.0,0.8766786882251743,6.028012071878747,3.460077739051072,0.2,2.7006928868173867,0.032866514777559606,7.985112749500763,7.436343174953316,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-5.459171764622153,3.447638473845239,0.0001246813415356781,0.4812770822893128,2.8204727815287436,4.993198801788294,0.611488995666076,2.173505871950093,0.43828212582429354,2.0812134619951275,10.0,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-4.15194697290827,1.9436001517414807,0.0,0.8318009830342861,9.290487941464068,1.3398377733591125,0.2429056150567635,0.9430687440083068,0.38710795278765486,7.887411814396141,2.3928771886914024,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-2.3706344360898473,1.949262505922868,0.007702074022462545,0.6854632730287167,0.11683432573053895,3.0307529338926096,0.2,1.7911476249573453,0.3755826039969171,9.989410709373141,2.9951106690410425,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-2.661415762373558,0.6356916572696678,0.0,0.6666593545598062,10.0,0.6031476155273205,0.8,0.7123551247667426,0.9048909048722567,4.143597742337744,10.0,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
