ParticipantID,NLL,Recovered_lr,Recovered_vsamp,Recovered_vps,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-1.1651333454922888,0.16001942396193036,0.6756011209979731,0.5479544888170946,10.0,0.31267861117505136,0.6001755883457117,0.6244470209049469,0.4944879626367052,2.683896246973752,3.418847950275602,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-0.8840446226267402,0.05500509968409225,0.22823394580718873,0.6771240214843505,2.5918590281758394,0.518465972508034,0.41505996274553153,1.025485371674402,0.22714997582783167,9.988324089847062,1.3741983854765931,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-1.0306989903277153,0.019631091773795427,0.49808965731812316,0.7525753493713231,1.85301900925259,0.2373914920589184,0.2,0.5046593902736985,0.29610860529048094,9.999804292718299,3.123285570137983,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.082376455458459,1.359903534375023,0.547251422635128,0.0,1.7685510194800378,4.945450243853593,0.4720724065206895,0.43128688541128385,0.7570681165930494,1.2253539279313865,9.99970248717912,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-1.1110658701263816,0.6189084133207075,0.15145106072975123,0.9,1.3682510720851364,3.1009026764721646,0.8,0.9509353024377015,0.9230418194794447,4.257440361384063,0.1142776158056264,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,-1.5128728759659797,0.07179764727272782,0.6391349181429651,0.5864544303785475,0.7407294466601121,2.9498922899324884,0.522675884530254,1.1250016298391248,0.03611586520364972,8.209987066018906,5.242909298359818,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-3.528963992991969,0.8518220110183421,0.678738403154487,0.36286623990497213,1.9663458210351608,4.95415476651312,0.8,0.6487540598336098,0.44207799220958455,1.387462062520822,2.7883048662206695,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-1.2580182835212985,0.056158361405909026,0.15624242096412824,0.699260236715078,10.0,0.8918441399568207,0.8,0.4525467356888382,0.3756254073719421,3.2881301863689796,0.688211307066018,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-1.8136618015119519,0.002273550306437381,0.5593265852546234,0.7011040520802184,2.3235544456678996,3.9495393146088724,0.5049907266243352,1.707758991801364,0.37519442474280534,3.6639605440019745,6.877897338526373,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-2.4772492854953376,0.8275808561037078,0.9,0.03418609724800817,5.689935166242767,1.291240840184995,0.3645580705021876,1.4432638174114274,0.9107377616406404,3.4488920092335076,9.999770519102235,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
