ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-2.0663081844338054,0.820679029026432,0.2860504650490314,0.6631264799541907,3.122459395956687,0.213890230412919,0.29708358654753053,1.1040062790585374,0.4946147114521108,6.836056614092109,9.951327767455734,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-1.629455972165853,2.7210549221265588,0.29009722547417127,0.5865103044933586,0.9384649739221108,0.9162236552292671,0.32031928569042845,2.0121794363026493,0.21288719015194962,10.0,4.376371807434737,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-3.629902026663735,4.0,0.45323838929338556,0.8345703802021526,8.54382536732814,2.438140361483444,0.6576790685528042,2.589425099235637,0.3047939021143185,4.517340376868659,6.1073700749461635,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.468848400408724,1.3163755471367067,0.01149599467142308,0.23671547509546984,5.041540982807996,5.0,0.5837240530716926,0.8147203314464284,0.7559032930969554,1.5121713312759635,9.997262838786643,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-3.7233812882866504,2.963638041744278,0.8402214771520453,0.5814663020038074,4.903747726525467,3.5056507782182034,0.6080839394861661,3.5218053868176433,0.9183258230733347,7.218057988869678,6.933760590499424,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,-3.3953998126921334,0.408072588010198,0.754369554872653,0.48413682566633875,2.6231171208569486,4.022225855243721,0.21682474851156008,3.520008973260778,0.029116611473560056,4.408765412429889,9.993559807432778,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-4.6530349000242035,2.340808592582522,0.3308144481427684,0.2522977397983451,3.31680522423634,5.0,0.5163996465520992,2.5277017738299548,0.4372986140920129,2.0958705959905375,10.0,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-3.335943757645398,1.3994390354962338,0.5759967570182009,0.47549190526739304,7.730912466317983,1.231722411212307,0.26761752620540413,1.0807316552071082,0.3868786815893633,9.99994121941783,3.2070940319657946,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-1.9066037756170495,2.8315338085526003,0.5664787520179027,0.36390694909493243,0.5872960029130335,4.99938330646237,0.3749137615724571,1.8079601760677204,0.3748638361109481,1.3087143976273872,0.797073520063685,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-3.1269851031532374,2.4239808882623226,0.015415202819837695,0.8890009744954729,3.9293780906949682,1.630820403628024,0.25352766042096875,2.9000144141094313,0.9051426002406201,4.222963173626637,9.952278159315775,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
11,-3.8216966478413115,1.1487161849177616,0.8609161790189779,0.6155239188404308,3.7823207912556085,5.0,0.3679329473634301,3.5726207324327683,0.6723464909653554,2.2442520436229163,8.746082514822856,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
12,-0.8710822296604689,3.2173883551160287,0.605131569160715,0.15941647155329525,8.935332203180666,1.6940540842369247,0.7729135981618154,0.9931426317362734,0.2857858347461512,0.327127417810562,2.9369803566008654,3.335618709996933,0.6284536193626764,0.1319478315992181,6.124611286280749,1.3966016780816592,0.7495272338403802,1.0334594737775689,0.2857164953713028,0.4765470496967894,4.475791440506382
13,-2.0254795150819644,2.3081553689112533,0.5085345532311615,0.8088070214076621,6.364069589483286,2.7107378259119024,0.756633114061912,2.300831205546406,0.6584590375032133,1.7447061511561806,2.589346130539999,2.230351260684447,0.5162049743193857,0.8148396419637057,3.474139328006051,2.2376418979562764,0.7107425975008985,2.434268421958492,0.6539929348777337,2.78359330394316,4.87471301625849
14,-1.7406174708525954,2.2850390142508363,0.11972117678146965,0.045775404846416574,0.9222604687169405,2.120874335830461,0.2,2.6254903639395275,0.09860922517710383,3.3352508613891363,5.039404607035655,2.483809550321889,0.1200546271307159,0.029617844933281,1.1341100113082614,2.387305381698265,0.2144160407784851,2.6169730378077203,0.0975826179760844,2.5096153771624574,4.264929458562184
15,-4.933975315980344,0.4803084225393823,0.23717746580124982,0.014553464821752998,8.609275377884703,3.2352615030539145,0.4328323000234263,0.4055082732755986,0.38969754740739543,3.3176931458711745,9.97207813170202,0.4633069868249961,0.2434967944177198,0.0189717055519601,9.850455536104691,3.057868040607053,0.4270123033011495,0.3981548991086618,0.3898387483749842,4.525586263864343,9.310031937645029
16,0.0543740391649474,2.1998657505374677,0.0,0.8709850221125156,0.02768314436328671,0.16013514526306072,0.515866431450338,0.692402125359128,0.6025997537323508,10.0,6.06634728250298,1.1140166873522266,0.5533037019749691,0.5986515191239741,1.8596096979633887,2.528816744932159,0.6719004577159611,0.65734242738513,0.6060352981689622,0.2605993268839324,0.0704672381007565
17,-0.39466257536568894,1.3228435758853263,0.47558235867808,0.9,10.0,2.2263101038994964,0.5957225197309934,2.140211453608159,0.32332366756089087,0.7604436337854945,0.7798693835255972,0.2381144285602854,0.4332604132341328,0.8331336978212078,4.055573841390242,0.375163196682704,0.7168114846898173,2.221401066240629,0.3189358689174241,9.630323387846756,9.382617685023783
18,-2.8081050501429026,1.1378186055930866,0.19208392644085065,0.5419258638338814,6.519390750116848,1.5025356930061489,0.5241701746704539,0.8916847172977914,0.1953765569762341,9.4149851121364,1.6908651289972254,1.0400758878267693,0.1812526683423482,0.5300178329754696,8.42518209841559,1.6836054487252743,0.551857652878557,0.9003064980715887,0.1945937352381418,7.613352159920956,1.5009846135204996
19,1.3802490876307831,0.9786768997220007,0.5110646109346705,0.04781122421522218,0.1300244090572898,1.167770985980974,0.22628394040432867,1.584552963493303,0.8606075218934252,0.5205106750234161,6.943883445469579,1.06362816419131,0.6205453768599025,0.0135803768696811,0.3219440386857053,1.4376297001201432,0.4019739083073795,1.6401995904610414,0.8071905755135196,0.3598096765864189,3.5839524462532517
