ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_vps,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-2.066310736594495,0.8210467583602049,0.28607806526171586,0.6630786914174224,0.0,3.1055492391747914,0.21279740311316886,0.29705477582077666,1.1039694295836158,0.4946111254153494,6.870653242641719,9.999954141229429,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-1.630161951888619,4.0,0.2894685460881427,0.46868789372610353,0.21374914835971082,4.773173847555301,2.4386772400435577,0.4229103848895804,2.0074999869420966,0.21327224650693552,1.8501917508427348,0.7987066621841662,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-3.631934202454844,4.0,0.4485432013695769,0.8065874140732371,0.04996293006078269,9.580226962349494,2.572164563819576,0.6617578872062619,2.5990510186639275,0.3047799152653498,3.955384715793976,5.3453679449287606,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.470256613782738,1.2929484762707573,0.011536948583070219,0.19002208626172765,0.07189337498598954,4.583197155757542,4.989112585563209,0.5620789250715912,0.8012926178302439,0.7559356575423307,1.5165804270834429,10.0,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-3.7249636271617868,2.940606862075234,0.8345533485567793,0.5299687789364765,0.07616130561889602,5.555012963130033,3.660026798526052,0.6134124014753195,3.525043998548849,0.9183559331429888,6.20266525603468,5.935145815618375,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,497.0469411263551,2.380208256824961,0.6718596454664865,0.3645922116275925,0.5051476189724412,9.787138056264709,4.526293154569374,0.6534317526242088,3.7613380909428193,1.0,8.674132881310578,4.771257010104434,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-4.653026585990746,2.3394179804425566,0.3307852285947029,0.25226240568654584,0.0,3.317752346164822,5.0,0.5165041268929798,2.5272532246560715,0.4372935311014078,2.0941707616436736,9.99879891176733,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-inf,1.1562935735483706,0.5642573925391432,0.7370588499742012,0.5083626855078888,5.318265606607405,4.757582677354698,0.6182038742683271,3.779965534956832,0.5215169472720657,3.3101839260010193,3.2542333293331787,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-1.9039614903313904,2.107605000564716,0.541781454381386,0.43620508333783725,0.06079741254213941,0.26228066230077657,3.4814340159582797,0.3058943694306529,1.8071227282773086,0.374882432838416,5.984630781852197,1.6600545555204058,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-3.1269876615522443,2.42528948542615,0.015419011371045286,0.8890482420967223,0.0,3.9102883559459904,1.6269473374867256,0.25334092811369013,2.901703381273076,0.9051404835836953,4.242842517885775,9.998162983977142,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
11,-3.824354405968785,1.3073708583403423,0.8648149656859296,0.5931799343926838,0.10025246725280967,2.7617082037665055,5.0,0.3489741833937501,3.4407849434998132,0.6728212415304566,2.2613637526652637,9.891414569178087,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
12,-0.871094101787941,3.2395062331584015,0.6053898731966193,0.15943427512656927,0.0,9.559416048557964,1.7588924846541139,0.7768857604801178,0.9931834932921433,0.28579023662725606,0.30534727128969,2.7424004659111034,3.335618709996933,0.6284536193626764,0.1319478315992181,6.124611286280749,1.3966016780816592,0.7495272338403802,1.0334594737775689,0.2857164953713028,0.4765470496967894,4.475791440506382
13,-2.032577327492498,2.1494036250702218,0.46776581803631395,0.6631533548755792,0.28228053392408514,1.6243696736087372,1.6169150408329025,0.6360650109229435,2.3180471092701755,0.6583985009298184,5.438316996194719,8.057899951333946,2.230351260684447,0.5162049743193857,0.8148396419637057,3.474139328006051,2.2376418979562764,0.7107425975008985,2.434268421958492,0.6539929348777337,2.78359330394316,4.87471301625849
14,-1.7415331699890595,2.2834679524544614,0.1212988029638286,0.0,0.06052005679947958,0.910982069811391,2.1272120420106133,0.2,2.633474900972723,0.09837491358127513,3.3152124072866327,5.005923512820444,2.483809550321889,0.1200546271307159,0.029617844933281,1.1341100113082614,2.387305381698265,0.2144160407784851,2.6169730378077203,0.0975826179760844,2.5096153771624574,4.264929458562184
15,-4.934080106747666,0.4990681377400395,0.2368804455911694,0.000178414842796545,0.019589325270839293,8.22548189915764,3.223604038673332,0.43284732201577647,0.4054600460965333,0.38969481738997863,3.35365371284171,9.999996534191867,0.4633069868249961,0.2434967944177198,0.0189717055519601,9.850455536104691,3.057868040607053,0.4270123033011495,0.3981548991086618,0.3898387483749842,4.525586263864343,9.310031937645029
16,0.05256967564838232,0.0,0.0001826130699585783,0.2792115333357587,0.8642747219276561,8.541290059405794,0.1603126750883874,0.384737782312329,0.6930611359829157,0.6026511739054743,9.999922151945817,4.528897289587037,1.1140166873522266,0.5533037019749691,0.5986515191239741,1.8596096979633887,2.528816744932159,0.6719004577159611,0.65734242738513,0.6060352981689622,0.2605993268839324,0.0704672381007565
