ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vps,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-1.8071563639257933,1.347696838310228,0.3019350450638707,0.6672703135038447,10.0,1.2799713344238641,0.25429721200127137,0.9479416542754714,0.4915071215874875,0.8130864848630873,1.1284752644240543,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-1.581372642521484,4.0,0.2783551583686167,0.5768072317315232,4.6804799696074575,2.635590730066566,0.38734973777056597,1.9025018623121126,0.21420158958901792,1.4593728070040937,0.629107759887391,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-3.1103453378746693,4.0,0.3643536096954238,0.7683123166670155,10.0,3.1748472721086194,0.591846616596853,1.5731550077295655,0.30486397927243913,1.2992784855566548,1.770686352034695,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.436613355576407,1.3291118897048448,0.012631451208934863,0.2794769229512321,3.235104023816585,4.999586679901176,0.4949540903982189,0.757306973845769,0.7560489544712897,1.4625799548823544,9.999994480077593,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-3.598973625903097,2.265768653224472,0.7949630406216199,0.47593598005367543,3.069191924864919,3.147810734738258,0.5928834171937293,2.959336748899646,0.9195674669537267,9.49157899011085,8.00437993304416,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,-3.2603335797690067,0.7044819018768306,0.7564029962527534,0.4923134674984315,1.3231368870355056,3.8333438976943666,0.24776573907383576,2.934035007628861,0.030638045223031006,4.967257050332557,8.941869391061715,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-4.523975191159457,2.6934040046031806,0.3471143638166448,0.3184875307517773,1.9598201724056405,5.0,0.4158420580750866,2.0018719524737754,0.43849229870833983,1.9512665438848222,10.0,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-3.2042444175703344,1.7220803340867525,0.5659379227611273,0.4853476777877134,8.612555665500349,1.5791300158731962,0.26765593846670205,0.9626607244706623,0.38702183901388293,6.004699223429148,1.9204750580433327,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-1.906304974058347,3.1418867676270117,0.561925964359801,0.20473108810885068,0.9711853667672913,5.0,0.4655939663608152,1.807312512131542,0.3748699640171268,1.3080169475982724,0.5058910515635978,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-1.5435024532318558,0.3058574690223833,0.05779130087995377,0.6910451197971256,0.7002045500240218,0.36920837414463625,0.2,1.3392015686656087,0.8720372559932473,7.722965588046563,10.0,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
11,-3.487525000839464,1.2773854018672,0.8316903144254577,0.6467501027212321,1.2577252385251136,5.0,0.32022710934816595,2.455473406332136,0.674766006579654,1.9909046033957605,9.993309874749388,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
12,-0.8675045042885778,3.673953890978384,0.5982088942455828,0.15536545994452833,10.0,1.9990933040540984,0.7551257347972444,0.9854717648871044,0.2863730807183576,0.236965866661054,2.1838632959679436,3.335618709996933,0.6284536193626764,0.1319478315992181,6.124611286280749,1.3966016780816592,0.7495272338403802,1.0334594737775689,0.2857164953713028,0.4765470496967894,4.475791440506382
13,-1.987798815738995,4.0,0.41283667997651013,0.7706644578554515,8.303427282944284,3.976070225539269,0.6407737460285173,2.116245246328744,0.6628649211802484,0.4744611639429589,0.6634684760514488,2.230351260684447,0.5162049743193857,0.8148396419637057,3.474139328006051,2.2376418979562764,0.7107425975008985,2.434268421958492,0.6539929348777337,2.78359330394316,4.87471301625849
14,-1.7415331504391893,2.2841528741099797,0.12131697395534904,0.06047849344786614,0.9113871859730007,2.1272416889797063,0.2,2.6337116152122784,0.0983610081731928,3.3149546276754176,5.003742682024939,2.483809550321889,0.1200546271307159,0.029617844933281,1.1341100113082614,2.387305381698265,0.2144160407784851,2.6169730378077203,0.0975826179760844,2.5096153771624574,4.264929458562184
15,-4.934082931161467,0.49821281082209673,0.2365688175709011,0.0199283577398421,8.233978350506439,3.231373075066721,0.43298098868066726,0.40561709446399097,0.38969395870964235,3.3286481746743286,9.99996950771192,0.4633069868249961,0.2434967944177198,0.0189717055519601,9.850455536104691,3.057868040607053,0.4270123033011495,0.3981548991086618,0.3898387483749842,4.525586263864343,9.310031937645029
16,0.057714172298610165,0.0002724840355735598,0.03423791743006213,0.6227893544481281,10.0,0.9440873365541058,0.2,0.6891712311812661,0.6035744560685544,1.3861688892923931,0.0,1.1140166873522266,0.5533037019749691,0.5986515191239741,1.8596096979633887,2.528816744932159,0.6719004577159611,0.65734242738513,0.6060352981689622,0.2605993268839324,0.0704672381007565
17,-0.34462236985194555,3.080811404595287,0.3850868935817757,0.8293716876561975,10.0,3.568000807338486,0.4098966998987861,2.103998360312791,0.31453343559231417,0.1891656802475995,0.19797598665925317,0.2381144285602854,0.4332604132341328,0.8331336978212078,4.055573841390242,0.375163196682704,0.7168114846898173,2.221401066240629,0.3189358689174241,9.630323387846756,9.382617685023783
18,-2.7252725314635193,2.4183200239539566,0.2057561947409002,0.5979840783425828,10.0,2.805038261037549,0.4059518905723728,0.8287931578890371,0.19546428618109085,2.305873574320409,0.4050179102924686,1.0400758878267693,0.1812526683423482,0.5300178329754696,8.42518209841559,1.6836054487252743,0.551857652878557,0.9003064980715887,0.1945937352381418,7.613352159920956,1.5009846135204996
19,1.3799855929794853,0.9078874636514167,0.5034639853098307,0.048759070146889724,0.10717259882291086,0.9759436293342283,0.22431445803072544,1.585338954212997,0.8602092643212852,0.6639035604150979,8.459996863691918,1.06362816419131,0.6205453768599025,0.0135803768696811,0.3219440386857053,1.4376297001201432,0.4019739083073795,1.6401995904610414,0.8071905755135196,0.3598096765864189,3.5839524462532517
