ParticipantID,NLL,Recovered_lr1,Recovered_lr2,Recovered_lam,Recovered_b1,Recovered_b2,Recovered_p,Recovered_w,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,17.914492263719186,0.23578609989406488,0.3964371435674548,0.09617345186475675,20.0,20.0,1.0,0.0,3.3112129578368887,0.010327961345232,0.2403362789354657,19.99751575148525,2.39366554384973,4.900894960876333,3.9501307530134255,0.2733283460563137
2,66.2454984993447,0.007606125600773236,0.932574582247373,0.5763204365226747,20.0,5.045681110217015,1.0,0.004613617818348833,2.6496367227649915,0.4392724009691917,0.174860983877568,17.57260053165441,3.629747951154607,6.390528592947753,3.704134390989646,0.537603731955937
3,36.038611492185126,0.10131137732515336,0.637359923447802,1.0,20.0,12.21712281462842,1.0,0.0,2.5153662743887644,0.107068856959804,0.2772332883490782,11.739244144593584,7.909274326150228,6.639460814328007,4.259773224021491,0.3141332535873101
4,63.07639449314881,0.9401262730358543,1.0,0.31003892600476374,17.519370598240755,19.617156343360687,1.0,4.64876729110621e-06,3.61309080348134,0.3448582653879839,0.8488118976554292,12.347646260499303,15.801910422918,5.14775428373226,2.655723471966544,0.3965563392595831
5,59.173771170278165,0.19304672793789743,0.7047599648751953,0.0,20.0,7.273802089197429,1.0,0.0,0.517458828909422,0.3454397206743813,0.1934788327125098,0.6573051176383315,5.49773659650519,1.8057605266685692,4.377651575190614,0.248741937458843
6,110.5669969872061,0.7029787568723797,0.9832779915481894,0.7128767190232554,20.0,1.6557335165932772,1.0,0.0,0.735582396327533,0.6336276259827008,0.8273033019182461,5.029169044638682,0.4260226292276314,9.605044727550997,3.4111032023697527,0.3863976176383136
7,73.2366182659882,1.0,1.0,0.4679886246625026,20.0,20.0,0.033191695283259624,0.387033682692371,1.8894937688609592,0.5393302864908871,0.3364817148588079,17.48975593242354,14.523451766152547,9.543407046242113,1.7553276142410583,0.7623044532330687
8,79.67597317292153,0.5389652189262754,1.0,1.0,20.0,3.305053175462806,1.0,0.0,1.916402296902976,0.5780903747836242,0.6629824842793987,16.186759380113603,7.925187345653876,4.479459785147712,4.0863851305637535,0.630534321854573
9,91.95153400956087,0.8041763945196327,1.0,0.008013848201909174,20.0,2.3978890810170617,1.0,0.0029460985259181995,3.763396837498576,0.881638084276057,0.1610220027292619,4.558388236255104,14.319728945580936,7.473827346542434,3.015897771162628,0.7263798585329069
10,77.6430843712002,0.8670028648294681,0.9652901164019287,0.752188536867964,20.0,8.135543981985506,0.20888344983154902,0.6525649767578046,1.007961848442954,0.3055386548671132,0.445182163296218,6.300541779371351,10.908781786836087,6.824780792979444,1.1018345057684742,0.4912024723810284
11,130.13300194560898,0.7142906652964438,1.0,0.6623890382214233,18.43235290677689,1.0266388297468936,1.0,0.03649527342324132,3.9719254305499136,0.2917451728631114,0.0318257275421825,16.347034585680266,10.066135671993246,0.527838561185705,4.451525136121206,0.4427086279882147
12,92.83234929550991,0.2602711533306007,0.6366430663417805,0.0,17.44966816271793,6.317025040164731,0.12901533372731538,0.684301231448528,3.717092728561588,0.3618703564205054,0.0691490562972127,4.906022882399855,7.005210114144056,7.507282923552251,0.9237407617464184,0.4585841922355246
13,67.21041050070251,0.01999893596599901,0.9590839079208747,1.0,20.0,4.8960249278319985,1.0,0.0,3.492981679263875,0.4803849822355048,0.0928392477741509,0.4904497410926445,14.116196023220972,9.791274909582173,3.925826314761534,0.6588357181072506
14,66.89129801198037,0.4660078210864566,0.8803572481934486,0.8372805146543996,20.0,5.267222319110293,1.0,0.0,2.7017900627120794,0.7159524392687987,0.0360160071053793,5.293632634337079,13.907950719431048,8.669883296077439,3.373034359084121,0.305765676790059
15,87.64880589801984,0.9245661764248083,1.0,0.9161935596485027,20.0,2.5389738235193526,1.0,0.0,3.745233839782773,0.8130408300997676,0.0780108895260957,3.86000075148506,5.503860612210534,7.384118706046068,4.296866641504285,0.5469934324709308
16,45.588393391643834,0.830676373500957,0.5080477764977436,0.7425251591353818,20.0,8.828273963949066,1.0,0.0,0.7985822826066489,0.3735808988592262,0.1240732802376964,18.34792373716849,15.290618808209471,5.102138338060776,2.2678752158541897,0.258705247007342
17,59.318337951374595,0.18419998905030857,0.955339574041164,0.0,20.0,20.0,1.0,0.0,1.2747014252013091,0.1085695158216568,0.7041042570260341,10.897674133523893,4.5455476283031775,2.242028392559363,1.3019909875789275,0.3853236513897536
18,63.076394131174965,0.2757231794193893,1.0,1.0,15.337929452018658,20.0,1.0,0.0,1.5508205271256394,0.2677940391395135,0.6116003050798353,0.7014723861015781,6.562206298627363,7.452918728580155,4.714039925376424,0.6816395300945308
19,164.81402607605563,0.9444484363189967,0.5322922666276393,0.7056950066501712,0.7732645277131772,16.03926362778719,0.054509959712709256,0.0,0.963304838286216,0.2096239215454485,0.1713031152454702,17.649950697172187,4.757113744824397,7.581806234131275,1.3052486570234327,0.2198491060445093
