ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_vps,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,2.119931970043754,3.3130891625734153,0.022607572589795018,0.0627367649920532,0.14841907978097021,1.722041575256931,18.822067012990054,5.936682438426238,3.2687728820727697,0.32212606172380537,3.3112129578368887,0.010327961345232,0.2403362789354657,19.99751575148525,2.39366554384973,4.900894960876333,3.9501307530134255,0.2733283460563137
2,3.9645599876162274,3.9137760795669765,0.5782213443164063,0.0,0.09377582800408646,1.7378604418310928,19.623470603100593,10.0,4.046148921925186,0.4949724610518892,2.6496367227649915,0.4392724009691917,0.174860983877568,17.57260053165441,3.629747951154607,6.390528592947753,3.704134390989646,0.537603731955937
3,2.454796394068828,4.0,0.1092221383374119,0.25127279450050916,0.0,2.6228292452285573,10.290087021996602,10.0,5.0,0.34575311974175005,2.5153662743887644,0.107068856959804,0.2772332883490782,11.739244144593584,7.909274326150228,6.639460814328007,4.259773224021491,0.3141332535873101
4,2.079441561263547,2.4068977566154905,0.04957083139234653,0.03448510767473789,0.9,2.1076246603913873,8.227426896203157,3.791952139490139,3.2601844492745866,0.567568522100815,3.61309080348134,0.3448582653879839,0.8488118976554292,12.347646260499303,15.801910422918,5.14775428373226,2.655723471966544,0.3965563392595831
5,23.149242968559136,0.05917918752645675,0.5436035060503667,0.10347363946428074,0.0,9.13543571792981,15.874450369063103,10.0,5.0,0.2157453365511546,0.517458828909422,0.3454397206743813,0.1934788327125098,0.6573051176383315,5.49773659650519,1.8057605266685692,4.377651575190614,0.248741937458843
6,81.67404483727927,0.012529494208609725,0.34994779156166894,0.18191333956904057,0.5157585855872228,19.461450084673125,8.714427782749064,10.0,4.741349782100349,0.46734843652050906,0.735582396327533,0.6336276259827008,0.8273033019182461,5.029169044638682,0.4260226292276314,9.605044727550997,3.4111032023697527,0.3863976176383136
7,2.153879647558255,4.0,0.5001122401142928,0.0,0.4618077330839336,13.533254974362958,16.72638237233446,10.0,2.6175629604166555,0.672360500021185,1.8894937688609592,0.5393302864908871,0.3364817148588079,17.48975593242354,14.523451766152547,9.543407046242113,1.7553276142410583,0.7623044532330687
8,13.968209117135178,0.12864351280818898,0.45649743420306144,0.22013889738971568,0.7697191232901706,4.211512939342999,20.0,10.0,5.0,0.8,1.916402296902976,0.5780903747836242,0.6629824842793987,16.186759380113603,7.925187345653876,4.479459785147712,4.0863851305637535,0.630534321854573
9,21.821971124252585,4.0,0.9,0.0,0.9,19.064364456605386,20.0,10.0,4.942425211135975,0.7820724181065858,3.763396837498576,0.881638084276057,0.1610220027292619,4.558388236255104,14.319728945580936,7.473827346542434,3.015897771162628,0.7263798585329069
10,16.45278007021283,0.6850223773168728,0.287419557241533,0.39543706256954375,0.05702311543022112,11.185831373502195,19.99996136446169,3.464619820059782,0.4766879547944734,0.5117646273637783,1.007961848442954,0.3055386548671132,0.445182163296218,6.300541779371351,10.908781786836087,6.824780792979444,1.1018345057684742,0.4912024723810284
11,45.81414066569381,3.200184028000923,0.30077811292302986,0.0,0.0,13.631180859964578,15.953247423182091,0.38987400942484496,3.335170470856532,0.3976002853108567,3.9719254305499136,0.2917451728631114,0.0318257275421825,16.347034585680266,10.066135671993246,0.527838561185705,4.451525136121206,0.4427086279882147
12,2.1758247234871804,2.8532468592095674,0.3406177809213906,0.03256133179757732,0.11269669318401812,10.329475290650707,16.918761354630668,9.996846304848658,1.195736695650585,0.44977298003643595,3.717092728561588,0.3618703564205054,0.0691490562972127,4.906022882399855,7.005210114144056,7.507282923552251,0.9237407617464184,0.4585841922355246
13,3.4669407983251466,4.0,0.5761961902990249,0.0,0.0,2.446624225823546,20.0,10.0,4.740364758136467,0.6531111263611651,3.492981679263875,0.4803849822355048,0.0928392477741509,0.4904497410926445,14.116196023220972,9.791274909582173,3.925826314761534,0.6588357181072506
14,10.23821686123068,2.9773637778726245,0.7459644133276223,0.0,0.3524535374469378,8.571376489903326,13.006480091578283,10.0,3.359060887862416,0.2,2.7017900627120794,0.7159524392687987,0.0360160071053793,5.293632634337079,13.907950719431048,8.669883296077439,3.373034359084121,0.305765676790059
15,18.917567849011974,4.0,0.893870934782418,0.0,0.0,7.062341995244639,20.0,10.0,4.645057259728143,0.5872167988086986,3.745233839782773,0.8130408300997676,0.0780108895260957,3.86000075148506,5.503860612210534,7.384118706046068,4.296866641504285,0.5469934324709308
16,3.1379128695097043,2.0356242483280016,0.4975016508252737,0.06917010637862903,0.05334556175776635,12.992014473416745,14.484048417092964,10.0,5.0,0.2,0.7985822826066489,0.3735808988592262,0.1240732802376964,18.34792373716849,15.290618808209471,5.102138338060776,2.2678752158541897,0.258705247007342
17,25.82106038951428,2.796645837228036,0.16173947598702698,0.6884541531915858,0.1926767935478197,12.01036551115646,5.639730417275527,0.6962303537000014,3.2492996291555802,0.2,1.2747014252013091,0.1085695158216568,0.7041042570260341,10.897674133523893,4.5455476283031775,2.242028392559363,1.3019909875789275,0.3853236513897536
18,2.079441565582491,3.644014745568902,0.30563498032068087,0.8512220663937106,0.41291702210698683,6.528215793443493,19.984566840420015,7.047615866452732,3.6498515562519533,0.4217023187262602,1.5508205271256394,0.2677940391395135,0.6116003050798353,0.7014723861015781,6.562206298627363,7.452918728580155,4.714039925376424,0.6816395300945308
19,129.90452672192214,0.7653947334080456,0.2149836280517999,0.07880746160195436,0.12400922435856311,15.768700054811648,3.889122352730465,9.218295452444522,1.9947740267699487,0.22174758398865388,0.963304838286216,0.2096239215454485,0.1713031152454702,17.649950697172187,4.757113744824397,7.581806234131275,1.3052486570234327,0.2198491060445093
20,18.354686888943174,4.0,0.7088239965372253,0.0,0.0,3.0859851172490917,20.0,6.769034747758086,1.495019650701711,0.8,2.933790800275064,0.6535816288156808,0.0800631998649481,6.534025158592032,18.96730580378045,1.6294899858218448,0.4333623632645506,0.5567623328669756
21,111.94063550799811,4.0,0.1544311657568769,0.17923744299963518,0.28457230230003167,1.3315413997065142,1.512805363313505,0.6445900816864851,4.3391977828643515,0.7400813423737341,3.723959461383888,0.1204004769687822,0.461711064294016,13.679984282339152,3.4365951921365423,0.1125989349218947,4.438415652398624,0.2211387623920157
22,155.59362256768333,4.0,0.768724103273371,0.9,0.7243406420021847,0.0018321665810853976,20.0,6.2191401613832955,5.0,0.8,1.0298331352306982,0.5865156285666017,0.257204640020186,0.1941519314963313,11.509036689299649,3.077922783347105,0.7575703092606156,0.7827699870395481
23,101.65580872974522,0.13503272485608397,0.40540135851484616,0.41475492310486745,0.5235069237634608,20.0,5.6789760279427135,3.4269795354860784,0.07245118447342529,0.709821740729149,0.6598890715958099,0.6545118970289494,0.8016517723441617,17.174302314538906,3.685141343168936,2.368085336942393,0.091813182512862,0.7588432803589127
