ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vps,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,2.197104701736814,2.4894052073226405,0.025914514521746704,0.1979637185117121,0.8581085365473191,20.0,5.635574869952014,5.0,0.2895250794283288,3.3112129578368887,0.010327961345232,0.2403362789354657,19.99751575148525,2.39366554384973,4.900894960876333,3.9501307530134255,0.2733283460563137
2,3.9645599876562416,3.9137743027894762,0.5782212091036772,0.0937761025621272,3.534243231688521,19.623476161639186,10.0,3.653401002630578,0.4949724426768063,2.6496367227649915,0.4392724009691917,0.174860983877568,17.57260053165441,3.629747951154607,6.390528592947753,3.704134390989646,0.537603731955937
3,4.471385504437163,2.3435694115698853,0.099518414498357,0.32839970585037304,17.470098594744314,10.412148975708151,10.0,5.0,0.32098479686300335,2.5153662743887644,0.107068856959804,0.2772332883490782,11.739244144593584,7.909274326150228,6.639460814328007,4.259773224021491,0.3141332535873101
4,2.079441541680231,1.3960015204104108,0.11801206188210586,0.9,12.984858587857484,9.222013828210732,8.655947042128908,4.335044858765723,0.27889774853257365,3.61309080348134,0.3448582653879839,0.8488118976554292,12.347646260499303,15.801910422918,5.14775428373226,2.655723471966544,0.3965563392595831
5,23.19795833660503,0.05076404889482409,0.5202381642499253,0.12922319033862067,20.0,17.221637781840222,9.99999857614545,3.686208006383063,0.24352690895999624,0.517458828909422,0.3454397206743813,0.1934788327125098,0.6573051176383315,5.49773659650519,1.8057605266685692,4.377651575190614,0.248741937458843
6,82.01692993335206,0.1381891158692026,0.3806370149083398,0.5652746390492743,5.0997138778643,0.8421272298368669,10.0,3.416490296492867,0.4904562150311243,0.735582396327533,0.6336276259827008,0.8273033019182461,5.029169044638682,0.4260226292276314,9.605044727550997,3.4111032023697527,0.3863976176383136
7,2.126185594391864,4.0,0.5026509456210166,0.45533654596385736,13.81462896803588,20.0,10.0,2.6189890150808464,0.6834289202709192,1.8894937688609592,0.5393302864908871,0.3364817148588079,17.48975593242354,14.523451766152547,9.543407046242113,1.7553276142410583,0.7623044532330687
8,14.053558633868139,0.10874241654222584,0.43928097678789113,0.841195843959955,17.5523988235019,20.0,10.0,4.574858009616022,0.8,1.916402296902976,0.5780903747836242,0.6629824842793987,16.186759380113603,7.925187345653876,4.479459785147712,4.0863851305637535,0.630534321854573
9,21.82197112425272,4.0,0.9,0.9,13.578551380612039,20.0,10.0,3.604908545766339,0.7820724285038543,3.763396837498576,0.881638084276057,0.1610220027292619,4.558388236255104,14.319728945580936,7.473827346542434,3.015897771162628,0.7263798585329069
10,17.804510693650165,1.3623762746840544,0.2822056682234395,0.42908648203465866,2.012462927017421,2.301365119426972,10.0,1.8602864118782232,0.5038064343388156,1.007961848442954,0.3055386548671132,0.445182163296218,6.300541779371351,10.908781786836087,6.824780792979444,1.1018345057684742,0.4912024723810284
11,45.81414066594788,3.200215878029662,0.3007788770052031,0.0,16.513044581445005,15.952964013636608,0.3898796748404264,4.5422397143026965,0.39760119147325723,3.9719254305499136,0.2917451728631114,0.0318257275421825,16.347034585680266,10.066135671993246,0.527838561185705,4.451525136121206,0.4427086279882147
12,2.1884673707251836,2.8702912906178515,0.3432438579662472,0.1503695299274068,12.242421041938737,19.98672400313355,8.313924856823606,1.073962695130639,0.4376918137514862,3.717092728561588,0.3618703564205054,0.0691490562972127,4.906022882399855,7.005210114144056,7.507282923552251,0.9237407617464184,0.4585841922355246
13,3.466940798325324,4.0,0.5761961771938636,0.0,13.847482820074886,20.0,10.0,5.0,0.6531111243587512,3.492981679263875,0.4803849822355048,0.0928392477741509,0.4904497410926445,14.116196023220972,9.791274909582173,3.925826314761534,0.6588357181072506
14,10.23821686134356,2.9774607672069737,0.7459658924783321,0.3524470873334828,10.067707697022518,13.00643398583946,10.0,5.0,0.2,2.7017900627120794,0.7159524392687987,0.0360160071053793,5.293632634337079,13.907950719431048,8.669883296077439,3.373034359084121,0.305765676790059
15,18.91756784901237,4.0,0.8938709164481142,0.0,20.0,20.0,10.0,5.0,0.5872167679309964,3.745233839782773,0.8130408300997676,0.0780108895260957,3.86000075148506,5.503860612210534,7.384118706046068,4.296866641504285,0.5469934324709308
16,3.149716523173349,2.152492773303209,0.5024352981405305,0.1382115341025957,12.262612026014763,14.494998584226863,10.0,4.082046543229415,0.2,0.7985822826066489,0.3735808988592262,0.1240732802376964,18.34792373716849,15.290618808209471,5.102138338060776,2.2678752158541897,0.258705247007342
17,31.332137201470154,1.9229885294045974,0.1605810684158088,0.5967887499361201,7.505618033457788,7.596037403233095,0.4696754465589841,2.1914572351650574,0.29968283883739527,1.2747014252013091,0.1085695158216568,0.7041042570260341,10.897674133523893,4.5455476283031775,2.242028392559363,1.3019909875789275,0.3853236513897536
