ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,2.1217011502987897,4.0,0.017005664253961276,0.16008330696895162,14.942432854743693,20.0,5.721226581975745,3.9396461691275215,0.359851674543883,3.3112129578368887,0.010327961345232,0.2403362789354657,19.99751575148525,2.39366554384973,4.900894960876333,3.9501307530134255,0.2733283460563137
2,4.665728033176523,4.0,0.56320987596317,0.0565251509408835,14.170304473071438,20.0,10.0,5.0,0.5182471943426007,2.6496367227649915,0.4392724009691917,0.174860983877568,17.57260053165441,3.629747951154607,6.390528592947753,3.704134390989646,0.537603731955937
3,2.4547963940685,4.0,0.10922214417522974,0.2512727857002885,8.686540867346393,10.290087943212887,10.0,3.201112353535173,0.34575311776316214,2.5153662743887644,0.107068856959804,0.2772332883490782,11.739244144593584,7.909274326150228,6.639460814328007,4.259773224021491,0.3141332535873101
4,2.079441579366137,3.9999396603783812,0.19951455640554971,0.9,6.923928444347714,12.314870857518768,7.590746446371137,3.3216923658847435,0.505283035676389,3.61309080348134,0.3448582653879839,0.8488118976554292,12.347646260499303,15.801910422918,5.14775428373226,2.655723471966544,0.3965563392595831
5,23.149242963770448,0.05917860772670976,0.543615230436588,0.10345995738514192,18.390768749483748,15.87473526618052,10.0,5.0,0.21575133784427086,0.517458828909422,0.3454397206743813,0.1934788327125098,0.6573051176383315,5.49773659650519,1.8057605266685692,4.377651575190614,0.248741937458843
6,82.52687511850095,0.012786273684920248,0.4996840347228333,0.587193069913929,11.335935426501024,20.0,10.0,2.3213361167529305,0.48926087950809377,0.735582396327533,0.6336276259827008,0.8273033019182461,5.029169044638682,0.4260226292276314,9.605044727550997,3.4111032023697527,0.3863976176383136
7,2.180665522818669,3.9996851942032166,0.5070636931171636,0.4675625988307584,16.723295301976023,20.0,9.999379744768552,2.2644789713898574,0.7171712728175332,1.8894937688609592,0.5393302864908871,0.3364817148588079,17.48975593242354,14.523451766152547,9.543407046242113,1.7553276142410583,0.7623044532330687
8,14.047439385786783,0.6808168150348488,0.5361046089080581,0.40939117122189145,10.01212211888632,20.0,3.560375429054142,4.674786297242602,0.8,1.916402296902976,0.5780903747836242,0.6629824842793987,16.186759380113603,7.925187345653876,4.479459785147712,4.0863851305637535,0.630534321854573
9,21.93751542734794,3.9273470203455267,0.9,0.23266383544260447,5.038932002302848,20.0,10.0,3.5895479698813504,0.7871119423272509,3.763396837498576,0.881638084276057,0.1610220027292619,4.558388236255104,14.319728945580936,7.473827346542434,3.015897771162628,0.7263798585329069
10,16.468225290325503,0.6296403055699313,0.2889921682418502,0.41861247397167484,10.864455474533194,20.0,3.9381771229056355,0.4845310656654198,0.5180852347171455,1.007961848442954,0.3055386548671132,0.445182163296218,6.300541779371351,10.908781786836087,6.824780792979444,1.1018345057684742,0.4912024723810284
