ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_vps,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vunsamp,Synthetic_vps,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,2.0823762008290645,3.286066985431282,0.0,0.0,0.34800498089359266,19.972208203221406,20.0,4.901713925274271,2.9978282297665895,0.26690536912595586,3.3112129578368887,0.010327961345232,0.2403362789354657,19.99751575148525,2.39366554384973,4.900894960876333,3.9501307530134255,0.2733283460563137
2,3.800755259717639,2.9966407296080524,0.5731201303056571,0.0,0.03198911655483549,15.088547948964166,20.0,10.0,5.0,0.5428337209739843,2.6496367227649915,0.4392724009691917,0.174860983877568,17.57260053165441,3.629747951154607,6.390528592947753,3.704134390989646,0.537603731955937
3,2.0855842021831057,2.292464583867456,0.11945596821847489,0.07434764746451746,0.2518190268687604,10.790626147279175,20.0,5.258656721736124,2.497308199570031,0.28107255085977995,2.5153662743887644,0.107068856959804,0.2772332883490782,11.739244144593584,7.909274326150228,6.639460814328007,4.259773224021491,0.3141332535873101
4,2.079481240929298,4.0,0.4072411248156021,0.0,0.7419174078361855,14.02310252462899,20.0,7.113389239410342,2.7441949438005167,0.47114764188579616,3.61309080348134,0.3448582653879839,0.8488118976554292,12.347646260499303,15.801910422918,5.14775428373226,2.655723471966544,0.3965563392595831
5,22.967474212979546,0.02699796144260965,0.3366576519987152,0.0,0.1777901644220094,8.58238564366398,20.0,10.0,5.0,0.2960881470251569,0.517458828909422,0.3454397206743813,0.1934788327125098,0.6573051176383315,5.49773659650519,1.8057605266685692,4.377651575190614,0.248741937458843
6,48.38400042916912,0.33837823172030257,0.6545237863335678,0.0,0.7503896978846848,5.323960903883189,1.195258684114241,10.0,4.338962382178824,0.4262500609924787,0.735582396327533,0.6336276259827008,0.8273033019182461,5.029169044638682,0.4260226292276314,9.605044727550997,3.4111032023697527,0.3863976176383136
7,2.081139752176491,4.0,0.41627456215116254,0.2518707055539494,0.14915776291627603,16.658354178605194,20.0,10.0,2.084601133288941,0.7574189887314503,1.8894937688609592,0.5393302864908871,0.3364817148588079,17.48975593242354,14.523451766152547,9.543407046242113,1.7553276142410583,0.7623044532330687
8,11.086720182955425,4.0,0.7907608845182061,0.9,0.9,7.983207431130562,20.0,9.178380469448474,5.0,0.3403709283723742,1.916402296902976,0.5780903747836242,0.6629824842793987,16.186759380113603,7.925187345653876,4.479459785147712,4.0863851305637535,0.630534321854573
9,21.821971124252585,4.0,0.9,0.0,0.9,19.064364456605386,20.0,10.0,4.942425211135975,0.7820724181065858,3.763396837498576,0.881638084276057,0.1610220027292619,4.558388236255104,14.319728945580936,7.473827346542434,3.015897771162628,0.7263798585329069
10,7.6570575075612375,2.230174534016627,0.288788192077775,0.0,0.4002608155465605,10.228159939691112,9.110225614258413,10.0,1.6391371438656042,0.5245952271790274,1.007961848442954,0.3055386548671132,0.445182163296218,6.300541779371351,10.908781786836087,6.824780792979444,1.1018345057684742,0.4912024723810284
