ParticipantID,NLL,Recovered_lr1,Recovered_lr2,Recovered_lam,Recovered_b1,Recovered_b2,Recovered_p,Recovered_w,Synthetic_lr,Synthetic_vunsamp,Synthetic_vps,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,18.25146215628607,0.17769414436010764,0.39416476630883146,1.0,20.0,20.0,1.0,0.0,3.3112129578368887,0.010327961345232,0.2403362789354657,19.99751575148525,2.39366554384973,4.900894960876333,3.9501307530134255,0.2733283460563137
2,65.68925009404336,0.44623495148679587,0.9407204963958472,0.0,19.568307287933724,5.011822042951665,1.0,7.662300663911237e-05,2.6496367227649915,0.4392724009691917,0.174860983877568,17.57260053165441,3.629747951154607,6.390528592947753,3.704134390989646,0.537603731955937
3,37.24790784174895,0.057060119694597185,0.6157009851598675,1.0,20.0,12.193902919923204,1.0,0.0,2.5153662743887644,0.107068856959804,0.2772332883490782,11.739244144593584,7.909274326150228,6.639460814328007,4.259773224021491,0.3141332535873101
4,62.369340326579284,1.0,1.0,0.456685951734004,20.0,20.0,0.18636612520565837,0.5486219423815277,3.61309080348134,0.3448582653879839,0.8488118976554292,12.347646260499303,15.801910422918,5.14775428373226,2.655723471966544,0.3965563392595831
5,55.96029576558378,0.17893444348183832,0.675460869660865,0.0,20.0,7.467295001892557,1.0,0.0,0.517458828909422,0.3454397206743813,0.1934788327125098,0.6573051176383315,5.49773659650519,1.8057605266685692,4.377651575190614,0.248741937458843
6,102.18342784591286,0.6896169689029549,1.0,0.667559403842237,20.0,1.955389152613133,1.0,0.0,0.735582396327533,0.6336276259827008,0.8273033019182461,5.029169044638682,0.4260226292276314,9.605044727550997,3.4111032023697527,0.3863976176383136
7,83.35545673338794,0.9968918314842985,1.0,0.7668312125726015,20.0,20.0,0.09040652070570648,0.44889008236557804,1.8894937688609592,0.5393302864908871,0.3364817148588079,17.48975593242354,14.523451766152547,9.543407046242113,1.7553276142410583,0.7623044532330687
8,73.7841794445651,0.49182628773863335,1.0,1.0,20.0,3.9981994003798254,1.0,0.0,1.916402296902976,0.5780903747836242,0.6629824842793987,16.186759380113603,7.925187345653876,4.479459785147712,4.0863851305637535,0.630534321854573
9,91.95153400956087,0.8041763945196327,1.0,0.008013848201909174,20.0,2.3978890810170617,1.0,0.0029460985259181995,3.763396837498576,0.881638084276057,0.1610220027292619,4.558388236255104,14.319728945580936,7.473827346542434,3.015897771162628,0.7263798585329069
10,102.15100293450581,1.0,0.9886313033776513,0.4853811357401897,14.958058829980722,20.0,0.13126880150703624,0.6367762900563547,1.007961848442954,0.3055386548671132,0.445182163296218,6.300541779371351,10.908781786836087,6.824780792979444,1.1018345057684742,0.4912024723810284
11,130.13300194560898,0.7142906652964438,1.0,0.6623890382214233,18.43235290677689,1.0266388297468936,1.0,0.03649527342324132,3.9719254305499136,0.2917451728631114,0.0318257275421825,16.347034585680266,10.066135671993246,0.527838561185705,4.451525136121206,0.4427086279882147
12,84.80032160897446,0.3828127410467779,0.676299084448054,0.10615958377074643,19.04900253600604,6.238423551038735,0.1146620135034561,0.7660630426775787,3.717092728561588,0.3618703564205054,0.0691490562972127,4.906022882399855,7.005210114144056,7.507282923552251,0.9237407617464184,0.4585841922355246
13,67.21041050070251,0.01999893596599901,0.9590839079208747,1.0,20.0,4.8960249278319985,1.0,0.0,3.492981679263875,0.4803849822355048,0.0928392477741509,0.4904497410926445,14.116196023220972,9.791274909582173,3.925826314761534,0.6588357181072506
14,66.89129801198037,0.4660078210864566,0.8803572481934486,0.8372805146543996,20.0,5.267222319110293,1.0,0.0,2.7017900627120794,0.7159524392687987,0.0360160071053793,5.293632634337079,13.907950719431048,8.669883296077439,3.373034359084121,0.305765676790059
15,87.59644322878529,0.926935218096484,0.9649460682212126,0.918611913242625,20.0,2.6153456539896385,1.0,0.0,3.745233839782773,0.8130408300997676,0.0780108895260957,3.86000075148506,5.503860612210534,7.384118706046068,4.296866641504285,0.5469934324709308
16,45.07443967260035,0.8295597822904699,0.4716404374158564,0.7384663827072206,20.0,9.160175392587718,1.0,0.0,0.7985822826066489,0.3735808988592262,0.1240732802376964,18.34792373716849,15.290618808209471,5.102138338060776,2.2678752158541897,0.258705247007342
17,71.22728288221077,0.020827215878097924,0.9730573315947366,0.0,20.0,11.197933314040677,0.2569993082734489,0.5803545306320986,1.2747014252013091,0.1085695158216568,0.7041042570260341,10.897674133523893,4.5455476283031775,2.242028392559363,1.3019909875789275,0.3853236513897536
18,63.076394131174965,0.2757231794193893,1.0,1.0,15.337929452018658,20.0,1.0,0.0,1.5508205271256394,0.2677940391395135,0.6116003050798353,0.7014723861015781,6.562206298627363,7.452918728580155,4.714039925376424,0.6816395300945308
19,151.4838045363416,0.3853548534224969,0.6464407820432235,0.5541913609200949,2.689789237757642,20.0,0.1468163368165121,0.0,0.963304838286216,0.2096239215454485,0.1713031152454702,17.649950697172187,4.757113744824397,7.581806234131275,1.3052486570234327,0.2198491060445093
