ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vunsamp,Synthetic_vps,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,4.204658591122749,1.8387718031121183,0.0,0.06300640182198575,13.891900581378504,20.0,1.3893094794302194,4.46235224242012,0.33768471447819515,3.3112129578368887,0.010327961345232,0.2403362789354657,19.99751575148525,2.39366554384973,4.900894960876333,3.9501307530134255,0.2733283460563137
2,3.8232534313250985,2.7703068610047477,0.5670781351950703,0.02300800463772657,11.018785005517824,20.0,10.0,5.0,0.5531739144014021,2.6496367227649915,0.4392724009691917,0.174860983877568,17.57260053165441,3.629747951154607,6.390528592947753,3.704134390989646,0.537603731955937
3,2.1002450966994677,1.9945316054156057,0.11453563764689136,0.26827932598502807,6.7174382748699655,20.0,5.834127820558739,4.952669398626275,0.29135334170143523,2.5153662743887644,0.107068856959804,0.2772332883490782,11.739244144593584,7.909274326150228,6.639460814328007,4.259773224021491,0.3141332535873101
4,2.130472198056991,4.0,0.4889202543060147,0.8772633358747911,13.162470267563727,20.0,8.06541224027794,2.4426577117678203,0.4073098340311123,3.61309080348134,0.3448582653879839,0.8488118976554292,12.347646260499303,15.801910422918,5.14775428373226,2.655723471966544,0.3965563392595831
5,23.16302564336027,0.032166028614031575,0.357550324920644,0.12382239604688222,14.967118232941843,20.0,9.457481142556293,2.841248100442847,0.27377046188960097,0.517458828909422,0.3454397206743813,0.1934788327125098,0.6573051176383315,5.49773659650519,1.8057605266685692,4.377651575190614,0.248741937458843
6,49.3449576091766,0.04051163981290717,0.7734176240803807,0.7633598909084955,8.678992000460752,20.0,10.0,3.4696796410327497,0.42768706448181165,0.735582396327533,0.6336276259827008,0.8273033019182461,5.029169044638682,0.4260226292276314,9.605044727550997,3.4111032023697527,0.3863976176383136
7,2.0813794911349093,4.0,0.42412095394876886,0.49521426071640423,17.66638715202473,20.0,10.0,2.02678077579809,0.7472305986883744,1.8894937688609592,0.5393302864908871,0.3364817148588079,17.48975593242354,14.523451766152547,9.543407046242113,1.7553276142410583,0.7623044532330687
8,11.10428560016531,4.0,0.789152389892696,0.9,7.182178295865604,20.0,8.926513681926993,4.800213127761588,0.32732464141470613,1.916402296902976,0.5780903747836242,0.6629824842793987,16.186759380113603,7.925187345653876,4.479459785147712,4.0863851305637535,0.630534321854573
9,21.937515427505595,3.9273049875113393,0.9,0.23266297131682487,5.0390983538693375,20.0,10.0,3.5950342904485972,0.7871111030275445,3.763396837498576,0.881638084276057,0.1610220027292619,4.558388236255104,14.319728945580936,7.473827346542434,3.015897771162628,0.7263798585329069
10,11.10219323918722,1.3110503438723466,0.29954167065138376,0.31036638475568523,14.037304302535615,4.494910195931825,10.0,1.0457876174719805,0.6078602807103608,1.007961848442954,0.3055386548671132,0.445182163296218,6.300541779371351,10.908781786836087,6.824780792979444,1.1018345057684742,0.4912024723810284
