ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_vps,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_vps,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,43.09829537834547,1.5765206061438588,0.3873790296568032,0.7908213911203988,0.0,17.16374903587942,20.0,0.04512134974265379,1.5235667417653176,0.2,0.8063865376326844,0.2947716502634602,0.6686291253507274,0.3068282242191079,0.9522185741311008,3.1271385735250323,1.938648596595468,2.475561812805891,0.581074976654803
2,19.65540508205929,3.570225674360766,0.9,0.0,0.683017684369719,3.2293312578335343,20.0,10.0,4.902425394993893,0.621206173213411,3.520879908874332,0.8122829007800205,0.2764446916365855,0.6780420658130272,5.648560611179452,7.371537395305518,2.927265620931302,2.068453680995507,0.3288294174010283
3,2.07944155632226,2.070483640359361,0.05474831883829878,0.0581638540555423,0.9,9.636364695167357,11.2798766649552,2.974538503288289,3.8015122809521764,0.45485034768302274,1.2759440258807562,0.1097278325010789,0.8667164156359811,0.4535847084589045,18.46201365177328,14.923202815468422,4.577052876804192,3.7731111265406585,0.5768138471641555
4,3.33775349054061,4.0,0.5680714302138794,0.0,0.34375240615797864,8.195034175768647,20.0,10.0,5.0,0.7512367564234378,1.2150337366074746,0.4694933820719447,0.6410809760826863,0.274782178303476,0.2504567377294653,5.365256582718727,7.9674547559008415,4.649965444817506,0.5751986929419531
5,18.09871069679012,4.0,0.8665543659548155,0.0,0.33750374255510124,19.73002882806792,20.0,10.0,4.444642718380581,0.6980865558319053,0.5312299383216441,0.6818133233226791,0.4742148114426096,0.6784821644590917,17.17223406140025,18.95083102203649,6.545375346228315,4.271291049213232,0.6455528346179282
6,27.85229976299731,4.0,0.838630188981785,0.9,0.5449376047930365,20.0,2.781972147872205,10.0,2.7359028472619955,0.6978071364681745,2.9084047536147075,0.7729116806402683,0.8307027366782989,0.8118684013723602,7.915005231303613,1.680425595974504,8.29573718458149,2.6946577665381715,0.5252456928434739
7,28.622974415380575,0.4545183290033707,0.04772664088484851,0.3006203837261874,0.38388990738385387,16.835946552665458,6.903750235518636,7.090282642715079,1.0923256569818292,0.3559520114214158,3.3007013222656783,0.0287857659381964,0.7901643768526411,0.0311706012039482,13.86389116756776,11.749689587008184,6.417491808335967,1.8704009386912808,0.3652772159900624
8,22.35542466608691,2.7840212229113965,0.8218033638556865,0.60556462409902,0.5494407593796852,4.100261907197002,20.0,10.0,2.086149339377387,0.5190607380237503,2.0376343257550493,0.7972408054347494,0.5087607033290115,0.5968340023178851,8.827584619070016,19.44278174242904,7.425224523517098,1.774512554253867,0.5921186195981958
9,18.250300366305517,4.0,0.8845709463821875,0.25651713891347694,0.0,19.38987891242503,20.0,10.0,1.8825111427585095,0.6121604664003092,2.170465647486881,0.7956505911408175,0.2475486459588705,0.0972607366551036,3.8254410348234025,7.740924652101717,8.540597949343145,1.354224569179583,0.5758152819252103
10,2.079441681303317,1.5501699024913367,0.2693039680604322,0.0,0.39301648389065946,14.897281539001355,20.0,10.0,4.139515878742856,0.5583043041151824,2.494207204182233,0.3672424218131358,0.0453016166935065,0.6703504857292435,5.914510688477623,7.969163930980803,3.772395675305095,3.318013158355468,0.2517999720890984
11,3.8779959842956515,0.8517829767641665,0.0076673176367046784,0.5899325113972563,0.7967072734839012,20.0,13.279746471384728,4.2468830088975995,5.0,0.5404278973334005,2.1995596818879246,0.0138796401089302,0.8847350851854751,0.5385845001492133,7.682284559924533,2.9349586145496542,6.968783264368051,4.529042083532762,0.3908652514067701
12,2.079441549748839,4.0,0.14259937381395643,0.30005580251525155,0.7504471479245822,8.620113113704907,8.917182883122615,4.912050647916572,5.0,0.4732555290131901,3.065968578624919,0.2587482918370689,0.861502808136954,0.6320841793153267,12.500311863866422,18.614694663002957,2.6904238725191854,4.618078731703804,0.6068497604743895
13,3.3377534905411648,4.0,0.568071491727099,0.0,0.34375630950044067,2.446624225823546,20.0,10.0,4.740364758136467,0.7512370429810019,3.085450028805848,0.5144718027914562,0.7505142097493099,0.6284536193626764,2.93217403553818,12.249222572561498,2.7932033561633185,4.5793936153365005,0.3189393741260923
14,2.079732049509521,1.4815110840648138,0.034205130445789225,0.270671366167137,0.7799932646845579,1.5934494253496974,20.0,5.533274845776428,3.3519422453548793,0.4084536191571123,1.1428659814852111,0.042889234472711,0.4028212296455743,0.5018290336540007,11.471221651541905,18.10754759919346,3.474139328006051,2.2376418979562764,0.7107425975008985
15,112.0877391145349,4.0,0.722350672041885,0.46367235720142985,0.09220782021925555,14.908764552450265,1.746374706005549,0.4089240825782395,2.5165979194330648,0.26687082308092347,2.3073172129280994,0.5885936413899603,0.2505233973548844,0.4387241714632641,12.419047751609444,2.6678806029048,0.3290871659253447,0.5670550056541307,0.4864766458037919
