ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vps,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_vps,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,46.03234303060398,4.0,0.3359956933595288,0.8385975793788433,18.65190926074327,0.14513124376252384,10.0,4.739851056088405,0.3935304196840564,0.8063865376326844,0.2947716502634602,0.6686291253507274,0.3068282242191079,0.9522185741311008,3.1271385735250323,1.938648596595468,2.475561812805891,0.581074976654803
2,19.655405082383673,3.5702615048323763,0.9,0.6830148093759515,20.0,20.0,10.0,5.0,0.621211807483204,3.520879908874332,0.8122829007800205,0.2764446916365855,0.6780420658130272,5.648560611179452,7.371537395305518,2.927265620931302,2.068453680995507,0.3288294174010283
3,2.07944156170859,2.46496004589099,0.045723992983175546,0.9,8.282538394324146,4.171315067012727,7.892579741030694,3.976022935883192,0.6456773141118644,1.2759440258807562,0.1097278325010789,0.8667164156359811,0.4535847084589045,18.46201365177328,14.923202815468422,4.577052876804192,3.7731111265406585,0.5768138471641555
4,3.3377534905390283,4.0,0.5680715375168697,0.3437539791320088,18.87595011766091,20.0,10.0,4.879526408037577,0.7512365957121977,1.2150337366074746,0.4694933820719447,0.6410809760826863,0.274782178303476,0.2504567377294653,5.365256582718727,7.9674547559008415,4.649965444817506,0.5751986929419531
5,18.09871069679091,4.0,0.8665543968377872,0.3375045638481036,6.121117335674276,20.0,10.0,5.0,0.6980859963269064,0.5312299383216441,0.6818133233226791,0.4742148114426096,0.6784821644590917,17.17223406140025,18.95083102203649,6.545375346228315,4.271291049213232,0.6455528346179282
6,32.1386123052409,0.9596633134597515,0.7845451949812938,0.8999801417066301,20.0,12.521328365507209,6.03412372362311,2.3517150876186115,0.8,2.9084047536147075,0.7729116806402683,0.8307027366782989,0.8118684013723602,7.915005231303613,1.680425595974504,8.29573718458149,2.6946577665381715,0.5252456928434739
7,33.44959989728329,0.7697729696497275,0.06753603043290118,0.5912762956722749,19.99998199430607,20.0,5.03671347343884,1.4058707368781118,0.2867550197318987,3.3007013222656783,0.0287857659381964,0.7901643768526411,0.0311706012039482,13.86389116756776,11.749689587008184,6.417491808335967,1.8704009386912808,0.3652772159900624
8,23.191300281119656,4.0,0.8442592347731711,0.9,0.7252846374911085,20.0,10.0,2.8512072919209874,0.5541195282581215,2.0376343257550493,0.7972408054347494,0.5087607033290115,0.5968340023178851,8.827584619070016,19.44278174242904,7.425224523517098,1.774512554253867,0.5921186195981958
9,18.933126000245384,4.0,0.8700358838113837,0.5509918138432619,20.0,12.27513149388222,5.691989108567241,1.596710363153993,0.373762428690316,2.170465647486881,0.7956505911408175,0.2475486459588705,0.0972607366551036,3.8254410348234025,7.740924652101717,8.540597949343145,1.354224569179583,0.5758152819252103
10,2.0794416664535755,1.4890285761391346,0.27184862938734516,0.37904073904399155,0.7418882646881575,20.0,10.0,4.829731257539075,0.5670077984036253,2.494207204182233,0.3672424218131358,0.0453016166935065,0.6703504857292435,5.914510688477623,7.969163930980803,3.772395675305095,3.318013158355468,0.2517999720890984
