ParticipantID,NLL,Recovered_lr,Recovered_vsamp,Recovered_vps,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_vps,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,83.53446567532505,0.01563309233448055,0.6446967205750902,0.7206689616225345,1.2256082889177964,19.978804950030362,0.0,3.4073506798497375,0.25597421120478436,0.8063865376326844,0.2947716502634602,0.6686291253507274,0.3068282242191079,0.9522185741311008,3.1271385735250323,1.938648596595468,2.475561812805891,0.581074976654803
2,88.61520465702746,0.5072792340435449,0.7931461066519685,0.46054456900590873,4.910515559528619,5.474546559760974,0.7111420602382804,3.6195306462849284,0.7991023269958956,3.520879908874332,0.8122829007800205,0.2764446916365855,0.6780420658130272,5.648560611179452,7.371537395305518,2.927265620931302,2.068453680995507,0.3288294174010283
3,60.289000054597636,0.010603978128175786,0.36708679877470857,0.9,5.206901454578303,7.328630469053785,10.0,2.835332752206373,0.4267915988641539,1.2759440258807562,0.1097278325010789,0.8667164156359811,0.4535847084589045,18.46201365177328,14.923202815468422,4.577052876804192,3.7731111265406585,0.5768138471641555
4,64.30249701880382,0.0010244656012274203,0.018537232924992392,0.9,18.851716994539604,9.847441143903412,0.987550334207521,4.769779869771414,0.660948659247781,1.2150337366074746,0.4694933820719447,0.6410809760826863,0.274782178303476,0.2504567377294653,5.365256582718727,7.9674547559008415,4.649965444817506,0.5751986929419531
5,85.81110000790815,0.002121654863215619,0.030361786323459674,0.9,0.7749894874881654,5.431794115153252,0.8110927331542399,5.0,0.6748978179570798,0.5312299383216441,0.6818133233226791,0.4742148114426096,0.6784821644590917,17.17223406140025,18.95083102203649,6.545375346228315,4.271291049213232,0.6455528346179282
6,154.80149989712896,0.0,0.8127681345100229,0.680620867373683,19.999685361256507,8.266472053748817,4.680243560624448,0.0632185999462408,0.24709424201288138,2.9084047536147075,0.7729116806402683,0.8307027366782989,0.8118684013723602,7.915005231303613,1.680425595974504,8.29573718458149,2.6946577665381715,0.5252456928434739
7,59.240885607217024,1.7499126226932658,0.866641561770507,0.22081863057758905,17.767502927171986,8.851811279804814,6.941204782957374,1.7353939097958253,0.5798963185456746,3.3007013222656783,0.0287857659381964,0.7901643768526411,0.0311706012039482,13.86389116756776,11.749689587008184,6.417491808335967,1.8704009386912808,0.3652772159900624
8,171.11755020273375,0.07101465005971888,0.4224169154752345,0.7060346661965227,0.9026901072735846,0.6960554725397352,10.0,0.45167988462745823,0.8,2.0376343257550493,0.7972408054347494,0.5087607033290115,0.5968340023178851,8.827584619070016,19.44278174242904,7.425224523517098,1.774512554253867,0.5921186195981958
9,145.7579796712148,1.5618705358156548,0.788278438543676,0.0,20.0,12.650043286569318,0.004209897616131946,0.05348363098500082,0.2622944648570234,2.170465647486881,0.7956505911408175,0.2475486459588705,0.0972607366551036,3.8254410348234025,7.740924652101717,8.540597949343145,1.354224569179583,0.5758152819252103
10,55.35131461465973,0.0010842191438305416,0.024992118230712127,0.9,2.952403845705953,20.0,2.385767284743901,3.971545309132671,0.647442870793114,2.494207204182233,0.3672424218131358,0.0453016166935065,0.6703504857292435,5.914510688477623,7.969163930980803,3.772395675305095,3.318013158355468,0.2517999720890984
11,39.543242468288895,0.056760797078544103,0.37713324481730215,0.9,11.012789419047378,20.0,1.6265765785850925,2.238023885641865,0.4277331407731369,2.1995596818879246,0.0138796401089302,0.8847350851854751,0.5385845001492133,7.682284559924533,2.9349586145496542,6.968783264368051,4.529042083532762,0.3908652514067701
12,60.289000053588865,0.010604091322567477,0.3671107414526962,0.9,1.9879786138790332,7.3294205458689135,10.0,3.0976422060528,0.4267900387276553,3.065968578624919,0.2587482918370689,0.861502808136954,0.6320841793153267,12.500311863866422,18.614694663002957,2.6904238725191854,4.618078731703804,0.6068497604743895
13,64.30249701776849,0.0010244599983418702,0.018537217714216465,0.9,7.516180537033104,9.847199345091633,0.9875647215499771,5.0,0.6609504498109843,3.085450028805848,0.5144718027914562,0.7505142097493099,0.6284536193626764,2.93217403553818,12.249222572561498,2.7932033561633185,4.5793936153365005,0.3189393741260923
14,60.001803376311614,0.009132644921853532,0.29141122931691293,0.9,4.932702598599122,7.794844069861091,10.0,2.3434628365715415,0.41935002093449797,1.1428659814852111,0.042889234472711,0.4028212296455743,0.5018290336540007,11.471221651541905,18.10754759919346,3.474139328006051,2.2376418979562764,0.7107425975008985
15,137.3118243671357,0.03826043426228891,0.5566918190494823,0.7568835167667903,0.43600005223492594,20.0,0.04778416692191763,4.898409275891206,0.5416049493089006,2.3073172129280994,0.5885936413899603,0.2505233973548844,0.4387241714632641,12.419047751609444,2.6678806029048,0.3290871659253447,0.5670550056541307,0.4864766458037919
16,216.63553785975677,0.009399655979072961,0.24241616960610196,0.9,20.0,3.3076414480233702,0.16180983795677856,0.043230771553432246,0.45014028298559183,0.096106938523234,0.5635880362234995,0.087824356178476,0.2258653839446211,8.529858917124368,2.316534934124981,2.705519937974664,0.1053983641775563,0.7910273321662817
17,58.91751045302311,0.04799188142156981,0.0,0.9,0.7393829513007621,18.50248786680804,10.0,4.199759200807915,0.6785373873118213,2.4462944324856424,0.3405184549517241,0.0238755159994042,0.3508548735374858,9.051172527728683,18.620063875290057,2.7850417183805662,3.073909455416495,0.5991010127493162
18,129.97656726335538,4.390257434091351e-06,0.0007246356171903758,0.67689414661483,15.377630330336999,20.0,1.842573683959917,3.9266368614178604,0.6795436208424332,0.7438438791853557,0.4551870140877886,0.7078506865739413,0.0869211309855721,12.120705963379244,0.5211986537678648,0.0704672381007565,0.2976430357003568,0.4888402754894219
19,60.2890000533727,0.010604115255584221,0.3671121360983219,0.9,17.145489437021908,7.32946334078566,10.0,2.396747562590452,0.4267905084081536,3.702816434760924,0.3650016457251218,0.0675293754028867,0.775217227034726,10.385951709408804,6.378717378348481,9.630323387846756,4.691308842511892,0.3560113831740154
20,90.27126674513754,0.003094628750070532,0.035462252582876164,0.9,11.74893562099378,5.223805182074524,0.6825346795570424,4.296234020596378,0.7038005607391761,0.805567414854881,0.5300178329754696,0.758266388857403,0.3030489807705494,11.728588429285232,3.2448999895761554,1.9459373523814183,3.806676079960478,0.29005907681123
21,60.69811058838753,0.0021994394925819822,0.44546481848814456,0.4473569843918409,0.34915298845131826,15.523248784608832,10.0,3.6961829637164745,0.2,1.06362816419131,0.6205453768599025,0.0135803768696811,0.0289749634817134,5.750518800480573,6.732463610245983,3.6221610553001113,4.035952877567598,0.2215885805951851
22,89.74358420572041,0.0021910551771048554,0.03399156247111364,0.9,3.8687252482246115,6.527642705885658,0.6420728202385516,3.4065724237101582,0.651416311150121,1.4335809785013005,0.5744503199401418,0.1287036985664904,0.7719647530602965,12.911288165468656,2.3058685096005416,2.080974099989472,3.727491653740823,0.4420439770005037
