ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_gamma1,Recovered_gamma2,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Synthetic_lr,Synthetic_vunsamp,Synthetic_vsamp,Synthetic_vps,Synthetic_gamma1,Synthetic_gamma2,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r
1,43.09829537834524,1.5765204339286147,0.3873790404249871,0.7908213448503406,18.791185836376442,20.0,0.04512137048593024,5.0,0.2,0.8063865376326844,0.2947716502634602,0.6686291253507274,0.3068282242191079,0.9522185741311008,3.1271385735250323,1.938648596595468,2.475561812805891,0.581074976654803
2,19.675194581441374,3.5918985719835663,0.9,0.6141982635271116,6.374150920003575,20.0,10.0,5.0,0.6149492280199497,3.520879908874332,0.8122829007800205,0.2764446916365855,0.6780420658130272,5.648560611179452,7.371537395305518,2.927265620931302,2.068453680995507,0.3288294174010283
3,2.0794415981091423,3.966295993685683,0.17680651985662565,0.9,9.592912660574726,9.20098049168739,9.980988611435825,3.662198911645228,0.6026836575457188,1.2759440258807562,0.1097278325010789,0.8667164156359811,0.4535847084589045,18.46201365177328,14.923202815468422,4.577052876804192,3.7731111265406585,0.5768138471641555
4,3.357173588693338,4.0,0.5650890299152328,0.060940503480060006,13.235381182872153,20.0,10.0,5.0,0.7586359518875448,1.2150337366074746,0.4694933820719447,0.6410809760826863,0.274782178303476,0.2504567377294653,5.365256582718727,7.9674547559008415,4.649965444817506,0.5751986929419531
5,18.104541524644056,4.0,0.8667349558790699,0.3371356209641635,5.693672065429228,20.0,10.0,5.0,0.6943427571630177,0.5312299383216441,0.6818133233226791,0.4742148114426096,0.6784821644590917,17.17223406140025,18.95083102203649,6.545375346228315,4.271291049213232,0.6455528346179282
6,50.25878135298865,0.20102782274049968,0.7190837069061026,0.9,17.26088474436135,20.0,10.0,0.32407186369642543,0.8,2.9084047536147075,0.7729116806402683,0.8307027366782989,0.8118684013723602,7.915005231303613,1.680425595974504,8.29573718458149,2.6946577665381715,0.5252456928434739
7,50.108178457663435,3.4030125524137813,0.011671965355735173,0.8935559939921717,11.496475610699202,19.99999989419735,9.999985872741593,2.2257094703928106,0.6291796907790913,3.3007013222656783,0.0287857659381964,0.7901643768526411,0.0311706012039482,13.86389116756776,11.749689587008184,6.417491808335967,1.8704009386912808,0.3652772159900624
8,24.192163826661215,4.0,0.8324054696311578,0.8474264387590936,3.4159946550895013,20.0,10.0,1.7746335965712563,0.6034203593372418,2.0376343257550493,0.7972408054347494,0.5087607033290115,0.5968340023178851,8.827584619070016,19.44278174242904,7.425224523517098,1.774512554253867,0.5921186195981958
9,18.250300366309162,4.0,0.884570909101518,0.25651675569894106,19.389901076390625,20.0,10.0,1.8825108814289258,0.6121607499511615,2.170465647486881,0.7956505911408175,0.2475486459588705,0.0972607366551036,3.8254410348234025,7.740924652101717,8.540597949343145,1.354224569179583,0.5758152819252103
10,2.0852054848285513,0.6884643463735517,0.271929166771368,0.12043541333162845,20.0,20.0,10.0,5.0,0.7245632678116707,2.494207204182233,0.3672424218131358,0.0453016166935065,0.6703504857292435,5.914510688477623,7.969163930980803,3.772395675305095,3.318013158355468,0.2517999720890984
