ParticipantID,NLL,Recovered_lr1,Recovered_lr2,Recovered_lam,Recovered_w,Recovered_p,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-1.1939419094300212,0.922347378010947,1.0,0.0,0.996211814095268,0.1272979747518526,0.48755030868036725,0.4796643073108732,10.0,10.0,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-0.7387608750434239,1.0,1.0,0.0,0.9286256166419149,0.5970239088658087,0.8500721752557557,0.20200421447881542,10.0,2.749262754639302,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-0.8856469531337835,1.0,1.0,1.0,0.46136262232307584,0.0914762902257107,0.5208586869323838,0.2782188086879069,10.0,4.2430829962945715,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-3.057529635691743,0.19497468832851947,0.6827797423296387,0.8427971187992518,0.0,1.0,0.3,0.745143474171046,10.0,10.0,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-0.018204214689138652,0.10995060494861883,1.0,1.0,0.0,1.0,1.0320043872787252,0.8694173859817966,10.0,0.564062657537422,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,0.7696768038448566,0.20909446498746873,0.798542339634347,0.7792047392362632,0.0,1.0,0.9155755014097137,0.0,10.0,0.7484089383845651,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-1.213535833160294,0.12040291451553979,0.720190157515768,1.0,0.0,1.0,0.7526714540528325,0.40103124391567224,10.0,4.2297090946987375,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-1.180722983937311,0.37720294061490944,0.9034040335702295,0.0,0.9338644165568594,0.42055957530892174,0.419194921249121,0.3652763938178095,10.0,5.803171993840786,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-0.09682157982781625,0.11301152105249385,1.0,0.8903682812501619,0.0,1.0,1.6329384311553858,0.28456676490561433,10.0,0.20078182143389092,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-1.4921883880161886,1.0,0.9736783265147433,0.4590341426436824,0.9193625427774844,0.32748756428718395,0.5264254451354173,0.880761711120867,10.0,10.0,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
11,0.20837050275980898,0.11488543629824918,1.0,0.8649288124795751,0.0,1.0,1.0666947856053022,0.6155548668621436,10.0,0.5376321024520514,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
12,0.4000122334608052,0.42214952859106186,1.0,1.0,0.7285249041516559,0.31788056717726526,0.7472532824768263,0.22016786375128047,2.3112937229571853,2.2417756181416566,3.335618709996933,0.6284536193626764,0.1319478315992181,6.124611286280749,1.3966016780816592,0.7495272338403802,1.0334594737775689,0.2857164953713028,0.4765470496967894,4.475791440506382
13,0.06327558834456856,0.8928148912470777,0.9048172472154536,0.7330399939636671,0.539327400570588,0.39370480632603966,0.7817865542458339,0.6076112343250964,6.8955509572029765,1.246675819776413,2.230351260684447,0.5162049743193857,0.8148396419637057,3.474139328006051,2.2376418979562764,0.7107425975008985,2.434268421958492,0.6539929348777337,2.78359330394316,4.87471301625849
14,-1.2665276160571979,0.10958528247770122,0.4077531930686035,0.2289036538678964,0.0,1.0,1.1125021108043491,0.12893514245851584,10.0,3.6884047209847735,2.483809550321889,0.1200546271307159,0.029617844933281,1.1341100113082614,2.387305381698265,0.2144160407784851,2.6169730378077203,0.0975826179760844,2.5096153771624574,4.264929458562184
15,-3.1925703620578587,0.19175914741736255,0.8729778134349325,0.6591088878824234,0.0,1.0,0.3,0.37919330636538917,10.0,10.0,0.4633069868249961,0.2434967944177198,0.0189717055519601,9.850455536104691,3.057868040607053,0.4270123033011495,0.3981548991086618,0.3898387483749842,4.525586263864343,9.310031937645029
16,0.05121629618409915,1.0,0.3754413462824798,1.0,0.9293779823634397,0.999543202073131,0.6723836168889156,0.5979292812870097,2.9663804511125584,0.0,1.1140166873522266,0.5533037019749691,0.5986515191239741,1.8596096979633887,2.528816744932159,0.6719004577159611,0.65734242738513,0.6060352981689622,0.2605993268839324,0.0704672381007565
17,0.4307976516686102,1.0,0.7430083993721184,1.0,0.7090495278272766,-0.1158192134576537,0.8215304049038744,0.2558678349034341,10.0,1.692787336010874,0.2381144285602854,0.4332604132341328,0.8331336978212078,4.055573841390242,0.375163196682704,0.7168114846898173,2.221401066240629,0.3189358689174241,9.630323387846756,9.382617685023783
18,-1.6608985525636195,1.0,1.0,1.0,0.871543743208878,0.7487701032817249,0.4096297369137279,0.1826655313594114,10.0,5.067962449302074,1.0400758878267693,0.1812526683423482,0.5300178329754696,8.42518209841559,1.6836054487252743,0.551857652878557,0.9003064980715887,0.1945937352381418,7.613352159920956,1.5009846135204996
19,1.5928761107678324,0.0,0.8642489372513074,0.02112809494963368,0.0,0.23522708655134503,1.5392811825803734,0.8402544934125571,5.698632974987073,0.5132326307252782,1.06362816419131,0.6205453768599025,0.0135803768696811,0.3219440386857053,1.4376297001201432,0.4019739083073795,1.6401995904610414,0.8071905755135196,0.3598096765864189,3.5839524462532517
20,-0.4654513415531922,1.0,0.9957376981849605,0.8265936938442676,0.853428475609425,0.0688674646708015,0.689513441715822,0.362522658388754,10.0,10.0,2.553112533067297,0.1287036985664904,0.7719647530602965,6.455644082734327,0.5764671274001354,0.3248584459993683,3.058343823768209,0.4034066283341728,4.844700609485067,8.874550780727276
21,1.0118063183053323,0.0,0.44206806710445185,0.157885802634399,0.07310490558330723,0.7921540256793667,1.8420695681505546,0.6913731038287053,6.11286455019851,0.3033477388807146,0.5497741984969235,0.8679355176475059,0.0383667136169219,0.994402572548848,1.1161921547022176,0.6839510493563086,1.986729387267159,0.6532511422613194,1.7432113751983724,1.6672193292652826
22,-1.8505486831702689,0.15341133753408417,0.6095888914299935,1.0,0.0,1.0,0.3828074685053935,0.3588946820505121,10.0,6.245512212418264,2.0833933622151566,0.6662642717521995,0.4162270186935256,8.696140851211128,3.302059673353201,0.3494540530711597,1.169138216967788,0.3740467168670696,7.566160562962172,9.379376643097824
23,-2.334001207881302,0.03511062626637935,1.0,1.0,0.5751807735408921,0.5321106256757498,0.3,0.7048677812902349,7.271421948348919,10.0,3.447623997275332,0.2354497134146295,0.3710510351807128,6.115440994503215,2.7341722790790417,0.4335649672453794,0.6752568744607239,0.7122448043972556,0.8813516392543386,8.660774293737196
