ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_vps,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-2.7218330009990415,0.7785593479601529,0.28474652255486244,0.005843175009742073,0.6733457150903573,3.045180018381658,0.2204460134096497,0.2936813987998446,1.1101356100758442,0.49481388548837635,7.664284984647474,10.0,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-1.8136827389825616,3.0686678324190533,0.27706057667861766,0.18602384391115281,0.5906296965553872,2.1297424155017586,1.439728714538585,0.39748326572686365,1.8716958090917888,0.21721294390692064,5.223645061778943,1.9475007423502098,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-3.766912833116557,4.0,0.45469022996153796,0.0,0.8350394593023418,8.538363214613753,2.4395264662649376,0.6546617808266697,2.4320698471458244,0.30414589157346184,4.121815411898451,5.55647622024989,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.622499526780048,1.2387267516733893,0.010540096013871946,0.007179240148948182,0.23571543582724616,4.474572413258795,5.0,0.5815201243124348,0.7369299921280953,0.7563123059899706,1.532180635033417,10.0,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-3.843837679024641,2.5900275855272423,0.8270146585673511,0.046591318147478376,0.5493816323741686,5.360475245583543,3.5016972393868384,0.6400211769182466,3.591584808632639,0.91809385742449,7.22861948721933,6.865119059127459,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,497.0485515375966,3.5714406057440065,0.6455989309999618,0.12534444494187516,0.6975314354757225,4.835035780903278,2.7410232535546886,0.7465713178125024,4.0,1.0,5.824607402418369,8.301449879373626,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-4.584259226479241,2.34921197227215,0.3304821581761362,0.0,0.2427321055079441,3.4113549110088512,5.0,0.5252582551590397,2.616425382554549,0.43733616994822894,2.218757574990008,9.99906890981991,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-3.5885908147704515,1.3341793948052785,0.5828627433519001,0.0,0.48430922294795775,7.412100521036807,1.2012620641894811,0.27015704655008727,1.0009251772880838,0.38709128875581006,10.0,3.2592191592668294,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-1.861418756650791,1.458164844448152,0.5776261705103755,0.0938860798759894,4.192480440158255e-05,0.24511620278381357,4.417587352660527,0.3925492314396593,1.831772493027414,0.3752941269851805,2.4602329769490194,2.371755186238916,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-4.197973323286541,2.1173408324087997,0.013018463986688109,0.00021166117339362577,0.8848950273905906,6.005986630229975,1.9178168639669848,0.29584419450509486,2.6562969617203738,0.9059405100644186,2.907125638364672,6.846899484910288,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
11,-inf,1.039656239061771,0.8391328500658366,0.01789245897151618,0.6091796517445073,3.5991501608968908,4.7966379902001455,0.3889207726996079,3.5706352391773106,0.6737842116910319,2.9534127540312842,9.786857440930786,1.1499924081647506,0.861502808136954,0.6320841793153267,6.250155931933211,4.6536736657507385,0.3614254323511511,3.7173782614608144,0.6780829341239825,7.7136250720146196,5.716353364349514
12,-0.8690997669176979,3.247247593564095,0.6565709855569908,0.018972749875009905,0.0506012769462821,3.048329868076881,0.7861281548790272,0.6647704692845546,1.0288563076890351,0.28743055524376443,0.9312413633276971,10.0,3.335618709996933,0.6284536193626764,0.1319478315992181,6.124611286280749,1.3966016780816592,0.7495272338403802,1.0334594737775689,0.2857164953713028,0.4765470496967894,4.475791440506382
13,-2.134702646165236,2.0590464320671074,0.5219002688332178,0.04068451664647129,0.7941231037110857,2.8567882708059833,1.9752628167676871,0.7039164449614306,2.3817698842196218,0.6550453126221416,3.571905720361648,6.277598163072058,2.230351260684447,0.5162049743193857,0.8148396419637057,3.474139328006051,2.2376418979562764,0.7107425975008985,2.434268421958492,0.6539929348777337,2.78359330394316,4.87471301625849
14,-1.7822389825095866,2.8874829801439357,0.11960979859743465,0.015801700794508544,0.0,1.6897441304095915,2.741735856132622,0.23768322450709004,2.7589549618791844,0.09598357253694063,1.79818633849702,3.060374000771108,2.483809550321889,0.1200546271307159,0.029617844933281,1.1341100113082614,2.387305381698265,0.2144160407784851,2.6169730378077203,0.0975826179760844,2.5096153771624574,4.264929458562184
15,-4.910305909913624,0.5379134539479317,0.2397248219358674,0.0,0.033921745702791835,7.165997735711782,3.3690373228648713,0.4166667571056892,0.3917063603600432,0.3895841568937112,2.7945694567084574,10.0,0.4633069868249961,0.2434967944177198,0.0189717055519601,9.850455536104691,3.057868040607053,0.4270123033011495,0.3981548991086618,0.3898387483749842,4.525586263864343,9.310031937645029
16,0.03516535396509781,0.01189887224621426,0.0,0.42643240458109516,0.9,0.0,5.0,0.34726341646071535,0.6772366145219126,0.597534235598182,0.020244664339262582,10.0,1.1140166873522266,0.5533037019749691,0.5986515191239741,1.8596096979633887,2.528816744932159,0.6719004577159611,0.65734242738513,0.6060352981689622,0.2605993268839324,0.0704672381007565
17,-1.697718706967079,0.22398413648328386,0.42605825523401836,0.0,0.8327660388230592,9.999911289038662,0.819508746071757,0.7121960827239392,2.323001017965458,0.31866419037744476,4.073104233771209,3.8780763505906943,0.2381144285602854,0.4332604132341328,0.8331336978212078,4.055573841390242,0.375163196682704,0.7168114846898173,2.221401066240629,0.3189358689174241,9.630323387846756,9.382617685023783
18,-3.1849856470193916,0.9066413622266434,0.17761904724016495,0.05073336378827037,0.49824495598959195,9.999996702902715,1.7188744524411976,0.5603507028601435,0.8993547163922944,0.1950408229165537,7.1953504880049595,1.4256598549178994,1.0400758878267693,0.1812526683423482,0.5300178329754696,8.42518209841559,1.6836054487252743,0.551857652878557,0.9003064980715887,0.1945937352381418,7.613352159920956,1.5009846135204996
19,1.4971295431335225,0.8218261576753398,0.6281195207679701,0.026144699948252716,0.0,0.310657351318249,1.335945534981541,0.4386327023851995,1.6386612752915808,0.8163131905352162,0.39543956327344687,4.74408177157572,1.06362816419131,0.6205453768599025,0.0135803768696811,0.3219440386857053,1.4376297001201432,0.4019739083073795,1.6401995904610414,0.8071905755135196,0.3598096765864189,3.5839524462532517
20,-3.6401577151773163,2.4973331061934494,0.13016508925905745,0.0,0.7709791135636901,5.591206284551109,0.5177120512125124,0.3230949624463004,2.9442056254199214,0.4036087359419805,5.324594399603403,9.822954521439843,2.553112533067297,0.1287036985664904,0.7719647530602965,6.455644082734327,0.5764671274001354,0.3248584459993683,3.058343823768209,0.4034066283341728,4.844700609485067,8.874550780727276
21,0.9458040232381739,0.48968653623816344,0.9,0.0,0.0,6.095048139527872,4.068841094922673,0.6678806081759654,1.9236271656709045,0.6819445437984794,0.0841759265699822,0.24290810192652254,0.5497741984969235,0.8679355176475059,0.0383667136169219,0.994402572548848,1.1161921547022176,0.6839510493563086,1.986729387267159,0.6532511422613194,1.7432113751983724,1.6672193292652826
22,-5.026532677417321,1.9789130039444591,0.6573413319912284,0.0789364757967603,0.357585264602202,8.3525563490964,3.2740013983470373,0.3615931871526442,1.0981884079046722,0.37367225298129575,6.324055040345105,8.96270529940173,2.0833933622151566,0.6662642717521995,0.4162270186935256,8.696140851211128,3.302059673353201,0.3494540530711597,1.169138216967788,0.3740467168670696,7.566160562962172,9.379376643097824
23,-3.75735214204509,3.4231504349534982,0.2341844615361106,0.0,0.38247520930945317,4.852226531523103,2.5821420575773337,0.41866524769235597,0.6422071265790695,0.7127077645580657,0.9828526287735285,10.0,3.447623997275332,0.2354497134146295,0.3710510351807128,6.115440994503215,2.7341722790790417,0.4335649672453794,0.6752568744607239,0.7122448043972556,0.8813516392543386,8.660774293737196
