ParticipantID,NLL,Recovered_lr,Recovered_vunsamp,Recovered_vsamp,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-2.4498475731894644,0.24674623005846996,0.28950705760099654,0.6861082412467168,10.0,0.12603646465012647,0.3149847099596837,0.8482991547545747,0.4958165893494151,7.781347876007912,10.0,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-1.7532708685466216,3.000995322751243,0.3247371942543702,0.6953095760969701,1.3686308047058366,0.8749822110371256,0.38547965187286604,1.7159826398013667,0.21964356597070514,10.0,3.4823010785195208,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-2.965336763506024,2.5172308370977716,0.5960876021769927,0.6909158581684413,7.107987079884407,1.1342904871317423,0.8,1.1584863860872163,0.304211018572263,7.570316518213591,10.0,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.535036220703491,1.5424005633345617,0.008690420682122677,0.2225332518427706,5.058336993210568,5.0,0.6879110237415947,0.6361994863097988,0.7565686634624301,1.4296269194113824,10.0,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-3.673616543335163,3.761794031280343,0.8951801796242794,0.6601517810241467,5.282368847480815,3.1657270342310997,0.6261362084435753,2.8531936718290445,0.9197710301110783,9.073750749022608,6.947760278943158,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,-3.37124153053775,0.08847200254640579,0.7787750901079029,0.37570765282958146,9.99991410282477,3.3394107596891534,0.2,2.6126841987487084,0.032136824665625174,8.219709259651747,10.0,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-4.496462438673639,2.127877254265731,0.33789445000998425,0.20514447004094935,3.6941500208872298,4.942631769408543,0.5556418682829383,2.2610466472252355,0.43809896187748687,2.2439295500170853,9.99995026039411,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-3.481848678661741,0.9893539177546846,0.5687671108464994,0.4668129048836571,10.0,1.046302756952651,0.2686969146212277,0.9009030221142059,0.38708560741290454,10.0,3.1186747099359264,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-1.861381886219691,0.9383478991406329,0.5593520614835282,0.010195768015409147,0.10997570688413479,3.1966481060633987,0.33013512084807445,1.8311638931216179,0.375294167177092,8.351555739413763,6.552985072656475,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-2.691279121501027,0.5464685504590394,0.01287151325562768,0.8058200678499433,10.0,0.6387176508866039,0.6509123372829198,0.7251438334551183,0.9060031482855401,4.285390177897489,10.0,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
