ParticipantID,NLL,Recovered_lr,Recovered_vsamp,Recovered_vps,Recovered_lam,Recovered_kappa_a,Recovered_prior_r,Recovered_a_bs,Recovered_ndt,Recovered_v_stage_0,Recovered_v_stage_1,Synthetic_lr,Synthetic_vunsamp,Synthetic_vps,Synthetic_lam,Synthetic_kappa_a,Synthetic_prior_r,Synthetic_a_bs,Synthetic_ndt,Synthetic_v_stage_0,Synthetic_v_stage_1
1,-1.451786425961486,0.08844696497156626,0.6028075745529308,0.6855532933704731,10.0,0.140448729649155,0.6234933631487716,0.5202208551306172,0.4910836330328504,4.126013310033592,4.315990443092131,0.8063865376326844,0.2947716502634602,0.6686291253507274,3.4092024913234207,0.2380546435327751,0.293814157205751,1.0172999807403231,0.4951123625611782,6.351249610913382,8.80219977218583
2,-0.9066711800024562,0.12161850268234355,0.8275991346469423,0.0,10.0,0.4150193794496625,0.572111365814913,0.8700426146300297,0.22345195066465143,9.768859557808401,1.3818086718147073,3.61014622568898,0.2764446916365855,0.6780420658130272,2.824280305589726,1.8428843488263795,0.3756359372558782,1.8306557239366752,0.2147156956683805,3.1898600647018904,1.2191981389008766
3,-0.7201149916288009,0.5348580826659078,0.7822367212092849,0.351503287500392,3.923194726533628,0.3191145373997646,0.8,0.5022778452388653,0.27821047516773156,3.5641486156888758,1.2403034919134148,3.852072958382138,0.4535847084589045,0.8307906143297975,7.461601407734211,2.288526438402096,0.6527733351848791,2.6236853908456257,0.3037584341518686,5.216593134132719,7.123121956474292
4,-5.219361080420548,1.5292713128614905,0.34740226984407624,0.0,3.437000421140741,5.0,0.6987527604222288,0.40395457189838824,0.7572454354999156,1.1584329599775174,7.870690996998014,1.221254125793227,0.0112705531978259,0.2414365462223427,7.9674547559008415,4.649965444817506,0.5751986929419531,0.7913876929475208,0.7575703592474212,5.269053460473439,7.5386907162121295
5,-0.5030743046261219,0.4079230017710832,0.5926495981803659,0.4909087031298208,9.991299371315423,3.474734085186526,0.8,0.9051101489288904,0.9188401868187591,1.90811075987677,0.056068026585779404,3.43444681228005,0.8527873959916419,0.5890837811605484,8.542582098426465,3.712940288482734,0.6362607130422062,3.4775257981877696,0.9230030407536652,9.020760015248444,3.957502615651807
6,-0.406046811396414,0.6369263894490591,0.7080654331247586,0.0,0.1558784425845783,2.7467544312579113,0.5296058216488385,0.9957290973089329,0.03538110047797809,8.197341280615756,5.392299487604324,0.3360851191949008,0.7466163466123342,0.4850383979768708,5.42076154739123,4.125876652832098,0.2191905106254643,3.54845354928308,0.0346340013377203,6.931945583783881,5.874844793504091
7,-2.7261837441662893,0.6647569619847407,0.7281220965100563,0.0,0.897629679262595,3.011918884837184,0.8,0.6692558217153431,0.4420250059711729,10.0,7.047002781965395,2.5669967233343867,0.3366721689644305,0.2479158239850937,5.094085814387624,4.429115585748607,0.5391738022193411,2.753650898417972,0.4413792309535008,9.72139087121452,7.425224523517098
8,-1.424403735983738,0.09128227891166923,0.19458900794087375,0.6648160827146271,10.0,0.6577748040066426,0.8,0.4112043839593543,0.3761405815228694,3.2847410304312317,0.696721455941116,1.4196100434030936,0.5881779293972935,0.4883547706845483,8.84056212378686,1.3752702553270586,0.2648404911034024,1.0077065914423295,0.3870462326050858,8.540597949343145,2.708449138359166
9,-1.7915815553825276,0.006078341417879573,0.21979492902375164,0.8762728811606776,3.925801219070689e-06,4.61021515888032,0.2510443169756902,1.7543718908974635,0.37554342318412665,1.9982558537979722,2.052656072650585,2.5054352128347346,0.5611966209410025,0.3672424218131358,0.5033512965945175,3.724169365162464,0.3774353206543287,1.7742953272314486,0.3772395675305094,6.636026316710936,0.8633328681516406
10,-2.4762612522631975,0.6088712220243289,0.03648003587579671,0.9,0.9708825185034209,0.5810300457607751,0.8,0.6236987932401817,0.9054684549342793,4.544072050486124,10.0,2.1995596818879246,0.0138796401089302,0.8847350851854751,5.984272223880148,1.9205711399811327,0.2880487584364896,2.878449807816179,0.9058084167065524,3.181087523446168,7.664921446562297
